iter,R2_train_all,R2_train_all_pct,RMSE_train_all,rRMSE_train_all,Bias_train_all,rBias_train_all,PBIAS_train_all_pct,R2_test_all,R2_test_all_pct,RMSE_test_all,rRMSE_test_all,Bias_test_all,rBias_test_all,PBIAS_test_all_pct,n_train_all,n_test_all
1,0.9023088349497173,90.23088349497172,3.009547820998407,0.24681957279020342,-0.00876683014948895,-0.0007189868381966087,-0.07189868381966087,0.9127320805528572,91.27320805528572,2.704180740475206,0.2385378171357316,-0.14594285714161295,-0.012873729203098531,-1.287372920309853,598,148
2,0.9115768717892214,91.15768717892215,2.8721401002387563,0.23850412841331098,-0.018591585350199686,-0.0015438556981960776,-0.15438556981960777,0.8704673983872677,87.04673983872678,3.2599109573344704,0.2728730398085525,-0.2138106275831667,-0.01789716242424562,-1.7897162424245616,598,148
3,0.9170576640400805,91.70576640400805,2.7736055578121936,0.22922359981918958,-0.021760318900989523,-0.0017983734628916961,-0.17983734628916961,0.8445474803901354,84.45474803901354,3.61617499438309,0.3087182159487179,0.10171590238440735,0.00868363725939795,0.8683637259397952,598,148
4,0.8968858702373491,89.68858702373491,3.033900911167868,0.25210487665926284,-0.023958322254593135,-0.0019908395342523024,-0.19908395342523025,0.9263023847536191,92.63023847536192,2.691767717279773,0.22470620010006565,0.04078366063955132,0.0034045810675467285,0.3404581067546729,598,148
5,0.9039356883461508,90.39356883461508,3.0267479018820467,0.2473144105874708,-0.018009714252963896,-0.001471566846565246,-0.1471566846565246,0.8962733883787496,89.62733883787496,2.7466317005645404,0.24624514882696388,0.3831334226166209,0.034349252815156224,3.4349252815156226,598,148
6,0.9075964127230858,90.75964127230858,2.8849670894433093,0.24073261975679885,-0.014457378999931875,-0.0012063786565212114,-0.12063786565212112,0.8844805053577923,88.44805053577923,3.3132107455525497,0.2719813580019842,-0.5343555248594796,-0.04386522695612789,-4.386522695612789,598,148
7,0.8994647069854095,89.94647069854095,3.0794296889848707,0.25448073656605624,-0.019379577101124416,-0.0016015072767121873,-0.1601507276712187,0.9261932033126099,92.619320331261,2.3956261001905976,0.20457715240217442,0.07847319468977561,0.006701305645425417,0.6701305645425416,598,148
8,0.8958128265244032,89.58128265244032,3.034762503677389,0.25084148521024474,-0.023911758086726013,-0.0019764515032706024,-0.1976451503270603,0.930298783196491,93.0298783196491,2.6626448737075132,0.22718289018143203,-0.20904227358652988,-0.017835960158426395,-1.7835960158426394,598,148
9,0.8943298876892795,89.43298876892794,2.9961210108571006,0.2533520502966029,-0.017026673962190965,-0.0014397758776835358,-0.14397758776835357,0.9292030548893653,92.92030548893652,2.852854879836994,0.22251516322312262,-0.0856692461195457,-0.006681975454910547,-0.6681975454910547,598,148
10,0.9110376340280815,91.10376340280814,2.8675389253579353,0.2387453222922444,-0.033971320590437684,-0.002828381442823771,-0.2828381442823771,0.8561274549532849,85.6127454953285,3.5079034937522766,0.2905421215934506,0.12247033044533473,0.010143605633168917,1.0143605633168917,598,148
