Species,block,parameter,count,mean,std,min,max,q2.5,q15.9,q25,q50,q75,q84.1,q97.5
Alder,param,a0,200,0.04881768946427522,0.011211521685240871,0.0246800877148381,0.0831336396451847,0.0324129858628994,0.03880772859419174,0.04106047397215312,0.0469201019712245,0.054930707471079226,0.05931554020152223,0.07557696546968048
Alder,param,a_DBH_cm,200,0.15585363515767278,0.06022160143403138,-0.0187303613210047,0.3391169544022671,0.05207170727722833,0.09607574434020298,0.11944100868900685,0.15599555692710093,0.18918176671631007,0.20585791177794857,0.2727905209271041
Alder,param,a_H_m,200,0.518670933594464,0.12148995315546018,0.2250322037358983,0.95564444767663,0.2702101430474247,0.40278701917826826,0.44291230251021213,0.5120383923612645,0.5983804055653394,0.6390378393693662,0.7407052129067495
Alder,param,a_BA_sq_m_sq_m,200,1.1631108520367994,0.0362842715258796,1.04469325889751,1.2553656503906885,1.1014874547249864,1.1264230766532144,1.136582782443638,1.1634041316247017,1.1918637686663556,1.201207053684273,1.2289603410720538
Alder,SE,SE_a0,200,0.01837051734353973,0.004003259435301197,0.0094625846892742,0.030897788902992,0.012043215388854302,0.014693987914718046,0.015692149059389277,0.017505330994817547,0.02082288375658185,0.022223582724951348,0.027480038975401303
Alder,SE,SE_a_DBH_cm,200,0.12865804699461145,0.009103066968345069,0.1051664505919548,0.1656666486428011,0.10802509207824683,0.11983336812253709,0.12456560408278133,0.12920627968252102,0.134450969806951,0.1366761450806194,0.14442493424237224
Alder,SE,SE_a_H_m,200,0.22492017257066896,0.015902234177576014,0.1834649483410307,0.2916249504183268,0.19324719798170414,0.20799332888196065,0.21669932438132472,0.22552592411753453,0.23509950185079045,0.23975630992485722,0.2516615796396579
Alder,SE,SE_a_BA_sq_m_sq_m,200,0.07863701244004344,0.005295909630683739,0.0622379683425357,0.0895595771658076,0.06583742816763713,0.07347572624653415,0.07591836251103096,0.07962096157293125,0.08212060703325622,0.0830993908911085,0.08745049839044675
Alder,CI95_lo,CI95_lo_a0,200,0.012310146535753401,0.004329594461099914,0.0034985666908929,0.0262050192591098,0.006440631958337853,0.008469315991433364,0.00928545715660235,0.01148906455764875,0.014387234941654425,0.016844217813276434,0.023527768995762394
Alder,CI95_lo,CI95_lo_a_DBH_cm,200,-0.09982719766369083,0.06460250015930206,-0.3479580131093898,0.0685041175731888,-0.21528284022114938,-0.16490100158724116,-0.13852201193037353,-0.10144936952607181,-0.06576362913710977,-0.041283027084229734,0.028340894178617
Alder,CI95_lo,CI95_lo_a_H_m,200,0.07168935424869599,0.11795287693735869,-0.2242851157674245,0.5139217517255374,-0.15787217358298108,-0.039299265321935055,-0.013438325545546326,0.0705087023155017,0.15229638660043282,0.1801462630538123,0.2813613819250049
Alder,CI95_lo,CI95_lo_a_BA_sq_m_sq_m,200,1.0068363142140988,0.036443329330065284,0.9055998509223622,1.10067133907155,0.9445764701938268,0.9695362883151631,0.9799961307037862,1.006905441695892,1.0305559953177077,1.0466878992896413,1.0726227804254247
Alder,CI95_hi,CI95_hi_a0,200,0.08532523239279705,0.01895350537063328,0.0434849863629393,0.1445365023777938,0.05620228134388662,0.06833980928168629,0.0720477779006765,0.08140458804885589,0.09625162986353743,0.10415139004028227,0.13235077606429213
Alder,CI95_hi,CI95_hi_a_DBH_cm,200,0.4115344679790364,0.06110914042994483,0.2484340313152488,0.6139894332002958,0.3119326725757591,0.3513745665123058,0.3740440368804117,0.4096160094833773,0.44895224796082134,0.4671899979249974,0.5374915980126379
Alder,CI95_hi,CI95_hi_a_H_m,200,0.965652512940232,0.1326806434946616,0.6348292560234872,1.4388657023150486,0.6945020991758271,0.8355775410200817,0.8775170880211722,0.959833181100965,1.0580028414973097,1.1016117895237296,1.2244005362739654
Alder,CI95_hi,CI95_hi_a_BA_sq_m_sq_m,200,1.3193853898595007,0.03907058977465528,1.1837866668726578,1.4100599617098264,1.2537695737692542,1.2796266558432208,1.2923483713416364,1.3188438096525044,1.3500844408160577,1.363541800730216,1.3846381966085095
Aspen,param,a0,200,0.4496215936661514,0.08829359443687587,0.2126419351167806,0.6770382321271988,0.28998778582287216,0.35683952526404367,0.38940926835367834,0.4461856477984485,0.5127986056530002,0.5405268382954352,0.6296984349044086
Aspen,param,a_DBH_cm,200,0.6472078675273256,0.10982756722385774,0.2165619546740015,0.9287875273645794,0.4318850362664183,0.5410672882612103,0.5785236605272341,0.6563050463230427,0.7187375971722523,0.7455280155870365,0.8345727778493675
Aspen,param,a_H_m,200,-0.6106165732825178,0.16696476284673326,-1.0088189145949382,0.0121893198209893,-0.8987572746808267,-0.7696381677040697,-0.7252537535770589,-0.6212584109447616,-0.5021052296257612,-0.43985912153425943,-0.28554350398559614
Aspen,param,a_BA_sq_m_sq_m,200,1.0498328375261814,0.035824386722039074,0.940205802824134,1.1726399907420015,0.9880653363804267,1.018272631183195,1.0284529912790323,1.0463310505570016,1.0718373193305548,1.08098797820653,1.1269104187747674
Aspen,SE,SE_a0,200,0.2622745387200798,0.057963679235920745,0.1297944636389491,0.4482982211035544,0.15931993267924205,0.19351684118900364,0.22973056443721213,0.26784440713817415,0.29580551768283025,0.3144992732272602,0.38548361277814236
Aspen,SE,SE_a_DBH_cm,200,0.28389379518993213,0.02862519517528081,0.2080162349854142,0.3765301177090052,0.22839555706068188,0.25666059792409834,0.26449473858391925,0.2835515263245762,0.3028564186140906,0.3141130387473439,0.33911441685911614
Aspen,SE,SE_a_H_m,200,0.42965375476469647,0.042184648065074506,0.3177350001845165,0.5663492751149976,0.35224508326405685,0.38977913650060964,0.40104930111274206,0.42737645239273636,0.4561485522235214,0.4712647275079275,0.5144308839420426
Aspen,SE,SE_a_BA_sq_m_sq_m,200,0.11450660739376825,0.018271259491932774,0.0734115570370917,0.1776813199589052,0.08963578572663324,0.09886103439409046,0.10448032288342078,0.1106337640250753,0.11681455704409943,0.13229595442424064,0.15766985442131315
Aspen,CI95_lo,CI95_lo_a0,200,-0.0774388246752149,0.05517851279115503,-0.2449638076190327,0.0663799591599486,-0.1947619328445558,-0.12667631071525767,-0.11551845434293913,-0.07554178535917011,-0.038462324169177074,-0.02470589605221769,0.02467431934556165
Aspen,CI95_lo,CI95_lo_a_DBH_cm,200,0.07670192673899796,0.11889679092420725,-0.3465773312902454,0.3816471297863287,-0.15561497906649369,-0.036742607136454296,0.009652821993047,0.08045932265872716,0.15862259191602623,0.1890064854268584,0.28111852913670843
Aspen,CI95_lo,CI95_lo_a_H_m,200,-1.474038119397251,0.19301462273872563,-1.891472826996898,-0.8217330159834496,-1.8168685876907078,-1.6358673920021378,-1.579069122179998,-1.511207191865466,-1.3817183267363695,-1.272108611548266,-1.056446726931102
Aspen,CI95_lo,CI95_lo_a_BA_sq_m_sq_m,200,0.8197231948199846,0.05059110946821598,0.6158921784152744,0.9594321502008264,0.7009311306972323,0.7750028574665635,0.7940102174801509,0.8226393044404183,0.8521315804819566,0.8662667218665963,0.9079499291503981
Aspen,CI95_hi,CI95_hi_a0,200,0.9766820120075178,0.19920626615697642,0.4734736751620844,1.5779272361059906,0.6284288954855158,0.7588735883285318,0.8548540509900555,0.9824559656575234,1.0992923613746535,1.178751596409908,1.3728481162197883
Aspen,CI95_hi,CI95_hi_a_DBH_cm,200,1.2177138083156533,0.1288637828458157,0.7797012406382486,1.47592792494283,0.9335919677013312,1.0845673791450214,1.1562643617070796,1.2363616716041854,1.2946248583081614,1.3296199063534164,1.4396393596487622
Aspen,CI95_hi,CI95_hi_a_H_m,200,0.2528049728322154,0.18130862785775234,-0.1811655050092344,0.8461116556254283,-0.06246888102544192,0.07346570935035149,0.1329529572982986,0.24782849149052574,0.36693865405061177,0.4269288685613074,0.6245507784532599
Aspen,CI95_hi,CI95_hi_a_BA_sq_m_sq_m,200,1.2799424802323778,0.05199671440735346,1.1766219598598764,1.4740089012408253,1.2133298790075429,1.2374845872029125,1.2465922660340603,1.2683659082849799,1.2939729387927728,1.3189659904177824,1.4147185261660928
Birch,param,a0,200,0.18455556960049624,0.07773537652268668,0.0221279381683827,0.4574386262006213,0.051509950467144974,0.11021551447482805,0.13159793116634605,0.17727676019472074,0.2350152659052263,0.2551076029409789,0.34589452334095877
Birch,param,a_DBH_cm,200,-0.19895434760534314,0.20810041966503942,-1.059904046147183,0.2683439760499723,-0.7474045024891629,-0.3641290092531311,-0.25239260317516554,-0.1527602373330818,-0.06805285137336868,-0.030984215593308606,0.09901122114513791
Birch,param,a_H_m,200,0.8468792897767918,0.310602533756218,0.3378251302086318,2.085612516571189,0.4450269111085764,0.5988078334639042,0.646486755170174,0.7796806797203311,0.9084017827929103,1.136693608322405,1.6654250063634415
Birch,param,a_BA_sq_m_sq_m,200,0.8216138645705112,0.11130426122957157,0.5980682752459242,1.1699726620826083,0.6616622805189416,0.713768935839977,0.7372936049915828,0.800962210317447,0.8729365788621875,0.9456346873515521,1.0911093735424555
Birch,SE,SE_a0,200,0.12709337467895884,0.047480942630107145,0.0201048890366199,0.2757444344233345,0.0402501505591806,0.08135315026828274,0.094770093342321,0.12709290601553536,0.1573221466472218,0.1728981088232863,0.2314227521407704
Birch,SE,SE_a_DBH_cm,200,0.28848819163518613,0.0194889391256219,0.2446445142455355,0.3543839016532925,0.2578514660029394,0.2688705388417338,0.27260133623314986,0.2867126641055659,0.2999263618542033,0.30802434727904654,0.3319002938042692
Birch,SE,SE_a_H_m,200,0.40419610011289775,0.03064609356248008,0.34265942550237,0.5029805853154992,0.3621232456031804,0.37398106465341585,0.38328838884470184,0.4000551445385375,0.4172483964299349,0.4313666104194197,0.4810121491029791
Birch,SE,SE_a_BA_sq_m_sq_m,200,0.16832566201998225,0.011628160154899331,0.1429602479371929,0.2109564259644636,0.14686299145328813,0.15737617849776597,0.1606680129277497,0.16777820048483955,0.1754684282553353,0.17897948847130038,0.19348104608582617
Birch,CI95_lo,CI95_lo_a0,200,-0.06786284282452718,0.02051519030077065,-0.1223266446907811,-0.0178021068510688,-0.10458917490786014,-0.08768040534083314,-0.08175579868991836,-0.06862229681474716,-0.05483894468824663,-0.04771732278239624,-0.02834966797156145
Birch,CI95_lo,CI95_lo_a_DBH_cm,200,-0.7719167976139619,0.23173917074948058,-1.763741064168542,-0.2937351390109438,-1.3732935151384997,-0.9748047820120136,-0.8337847102233054,-0.7242226779058941,-0.6249819888252683,-0.5861559878937699,-0.49270036386496885
Birch,CI95_lo,CI95_lo_a_H_m,200,0.04411094597755642,0.26891062913157443,-0.4887284301388732,1.086649658384006,-0.31706494044609024,-0.17807748416596889,-0.13378487400756028,-0.02108606680940115,0.12112987494834335,0.25838790826650415,0.7932418124680243
Birch,CI95_lo,CI95_lo_a_BA_sq_m_sq_m,200,0.4873045704408838,0.09705058873079189,0.2974155004051046,0.7763314436178146,0.3580776704145033,0.39648606350760945,0.4162422846943551,0.4666128425823312,0.5383402866239159,0.600318284852081,0.6951182633147753
Birch,CI95_hi,CI95_hi_a0,200,0.43697398202551974,0.1716104780453082,0.0620579831878344,1.0050908743842342,0.12871783349832527,0.27181160198946314,0.32153572628429505,0.43153480638598707,0.5461826991353473,0.6018196461879666,0.8038379023411522
Birch,CI95_hi,CI95_hi_a_DBH_cm,200,0.3740081024032756,0.1894860039502646,-0.3560670281258238,0.8304230911108884,-0.1284729631005513,0.21451458944863183,0.2947865207274596,0.41181497926820027,0.4963568491974587,0.5213838469643876,0.6766470714125739
Birch,CI95_hi,CI95_hi_a_H_m,200,1.6496476335760273,0.3578326837621066,1.0780554241676834,3.0845753747583724,1.2116674476749243,1.3574316875051549,1.4254233790853275,1.5724049267833522,1.7139576990137007,2.0132582410574527,2.547153908899688
Birch,CI95_hi,CI95_hi_a_BA_sq_m_sq_m,200,1.1559231587001386,0.1281607388156814,0.8823670895431821,1.563613880547402,0.9634875580213864,1.0334102286566065,1.0592123478769437,1.1367356827361874,1.2237678246984542,1.2939606254763834,1.4730608942917374
Oak,param,a0,200,0.1293777687501074,0.018470922096959042,0.0695382857655697,0.1798918689467348,0.08683330028197994,0.1116785230053112,0.11726890905504345,0.1301074963661359,0.1426641852295992,0.146847819701889,0.1586068799181714
Oak,param,a_DBH_cm,200,-0.05033651215075263,0.06506444252930442,-0.2788651819655385,0.0886885643371757,-0.24457279335763327,-0.10119265662953342,-0.08621315126443929,-0.0350139132414148,-0.0140619026237275,0.0022388809655016846,0.059206203904239245
Oak,param,a_H_m,200,0.6498360258152962,0.1053466445328632,0.3472272110554234,0.9637736539236166,0.4277770046726247,0.5648848336899563,0.5937634791421385,0.6438440400869929,0.7116022253156516,0.7345928563190982,0.8898613465306046
Oak,param,a_BA_sq_m_sq_m,200,1.0456888962380457,0.052887924244432886,0.8872858465617878,1.1707801230687618,0.9243463820952054,0.9956607068163398,1.0213074963224957,1.0493885256288324,1.077327831974722,1.0887873971772095,1.1433495479028837
Oak,SE,SE_a0,200,0.029642091670915978,0.005049950137469641,0.0149445929308169,0.0394398555188852,0.01811126566232214,0.023453185303415475,0.027269718207500626,0.0306913832185067,0.03319218925359495,0.03397949633283234,0.037042741357289174
Oak,SE,SE_a_DBH_cm,200,0.07229688064375035,0.014236928683246108,0.0409038394109606,0.1186142541076141,0.0517497560879396,0.06062641374012277,0.06396171406587482,0.06898698191726255,0.07628755946148601,0.09153251981806818,0.10416447899729274
Oak,SE,SE_a_H_m,200,0.1297040908210775,0.020403357541847394,0.0766498583465873,0.1995175767584434,0.09378751028325961,0.10971811434844163,0.11927378269923328,0.12615700048538264,0.14475437648530384,0.15177369182141184,0.1789496678345202
Oak,SE,SE_a_BA_sq_m_sq_m,200,0.06520116902128882,0.006943150939702259,0.045040066761432,0.0799756635433404,0.05011522941309982,0.05561293779117602,0.06350317847304503,0.0665745907358367,0.0691766376761372,0.07115429767269207,0.07652321664752104
Oak,CI95_lo,CI95_lo_a0,200,0.06983987542276296,0.01290069164565315,0.0395211874577406,0.1107805057312911,0.044751070765414944,0.05510105969141605,0.06255837707889472,0.07073928712134045,0.07833394772784462,0.08219829920085327,0.09610847698749844
Oak,CI95_lo,CI95_lo_a_DBH_cm,200,-0.1955490705442186,0.07682962806533183,-0.4347205521655789,-0.0473262630726059,-0.4086245061122461,-0.2897097556509784,-0.2183019666796744,-0.1728993623076621,-0.1477178627559901,-0.13801236549969736,-0.08851250941907293
Oak,CI95_lo,CI95_lo_a_H_m,200,0.3893176923198762,0.1223002052133197,0.0694845357176736,0.7279060299891319,0.12656068756409358,0.3041537545614301,0.3330957623380957,0.3829842264584137,0.47117006396911926,0.4876575173568619,0.6615392004564349
Oak,CI95_lo,CI95_lo_a_BA_sq_m_sq_m,200,0.9147284940807141,0.0551636172299415,0.7341936725065561,1.0626161116273538,0.7946529711150224,0.8661373792986236,0.8899684998304509,0.9164674793105373,0.9475664011341205,0.9620510873737473,1.0170103409052627
Oak,CI95_hi,CI95_hi_a0,200,0.1889156620774519,0.026864251049549093,0.0995553840733987,0.2591091501291291,0.1257380782390265,0.16261526250591224,0.17091492007687026,0.19165589421464752,0.20870714863868675,0.21462492705997696,0.2302966366076358
Oak,CI95_hi,CI95_hi_a_DBH_cm,200,0.09487604624271331,0.0648027869750355,-0.1233221449865058,0.2318259044674759,-0.08651808062023585,0.034348323495388314,0.06219442911717068,0.10617256460947255,0.12550241024321768,0.14428648674134376,0.2094697404694257
Oak,CI95_hi,CI95_hi_a_H_m,200,0.9103543593107163,0.10294383362419733,0.6249698863931732,1.2072714371271809,0.7264014810840678,0.82055972081207,0.844193248382503,0.8985002288780908,0.9579810402199057,1.007898994006209,1.1444414328601167
Oak,CI95_hi,CI95_hi_a_BA_sq_m_sq_m,200,1.1766492983953774,0.05422367670486386,1.0206279228365391,1.3020846015220695,1.056848629591308,1.122515064104222,1.150193020877563,1.1797089565641263,1.213967879897704,1.2256272348981188,1.2818138058289816
Pine,param,a0,200,0.15458322243902764,0.013405139333418525,0.1271919269414227,0.1917594965558347,0.12949387375417537,0.1402205486818643,0.14511913872865456,0.15395905218120914,0.16462490325165763,0.1674731339853288,0.18220149114484444
Pine,param,a_DBH_cm,200,-0.6090453983207357,0.06676194201744472,-0.8166412589645516,-0.3798090100505016,-0.7363448403219279,-0.6753188776360565,-0.6580970649239323,-0.6089013727859843,-0.5644597108529843,-0.5384494789538041,-0.4944268864656864
