metric,count,mean,std,min,max,q2.5,q15.9,q25,q50,q75,q84.1,q97.5
R2_train_all,200,0.5512983398164663,0.018706858229988056,0.5151904025220819,0.6127724204236337,0.5177657031734401,0.5332104553338204,0.5380104108502971,0.549504507541199,0.562456896099114,0.5698279805049139,0.5874817387184581
R2_train_all_pct,200,55.12983398164663,1.870685822998806,51.51904025220819,61.27724204236337,51.77657031734402,53.32104553338204,53.801041085029716,54.95045075411989,56.245689609911395,56.9827980504914,58.748173871845815
RMSE_train_all,200,1.8996442018510922,0.053301197429664354,1.7218021986644905,1.998181695111296,1.7830479656499536,1.8406104179523168,1.8585985017958033,1.9152917274281716,1.9368847676925256,1.9502540627832998,1.9762181416501512
rRMSE_train_all,200,0.39982171670796646,0.010152149048877748,0.3652792269711865,0.418543730318369,0.37984972076286955,0.3882738916064152,0.39402133986428856,0.40146475183899943,0.40708985481593274,0.4096701786763569,0.41596018915393546
Bias_train_all,200,-0.002622105362226336,0.001792830111724081,-0.0096649869701643,0.0029927253711156,-0.005773592578297272,-0.004450291831885142,-0.0039270149102588,-0.0025722588764507002,-0.0013682526725805751,-0.0008454406631843051,0.0003599451696366527
rBias_train_all,200,-0.0005520731256702803,0.00037782197646210673,-0.002041101038184,0.0006326057535512,-0.001221342620497935,-0.0009391497964936158,-0.00082647933639905,-0.0005393578597137,-0.0002867681810696,-0.00017845916302244955,7.486652541237592e-05
PBIAS_train_all_pct,200,-0.0552073125670321,0.03778219764621169,-0.2041101038184073,0.0632605753551225,-0.12213426204980098,-0.09391497964936546,-0.08264793363990598,-0.05393578597137915,-0.02867681810696645,-0.017845916302250485,0.007486652541237612
R2_test_all,200,0.3745845037493142,0.25831479402538327,-0.581276190401615,0.6557944088697101,-0.37538468525421365,0.2527065202588916,0.31758717141983683,0.4545166521383439,0.5291729399269992,0.5570411311655761,0.6242140286273119
R2_test_all_pct,200,37.45845037493142,25.831479402538328,-58.12761904016151,65.57944088697101,-37.53846852542136,25.27065202588916,31.758717141983688,45.451665213834396,52.917293992699925,55.70411311655761,62.42140286273119
RMSE_test_all,200,2.1469261099587933,0.3723527572818014,1.5666038369177455,3.3466350349832834,1.6477843238617718,1.8410747198782176,1.8952865131111176,2.078100469755939,2.321673618744042,2.4393179818696504,3.157681656646577
rRMSE_test_all,200,0.45402918057401875,0.07911106380655757,0.3378100056774863,0.7390498382031387,0.3528741100527998,0.3868053367547296,0.4047732385831716,0.4388746359267695,0.480288369321934,0.5111860049454353,0.6699931300624332
Bias_test_all,200,0.01713500588741533,0.1813414460248272,-0.4927175388235235,0.4128522686945369,-0.3541370157903233,-0.16230828024709304,-0.09112628522353783,0.021088909650356848,0.15000233528522375,0.20838625038632358,0.3456679429409113
rBias_test_all,200,0.0046758629561675594,0.038253323495339935,-0.0935856693071729,0.0924190641253473,-0.0705837474357916,-0.03329396625650027,-0.018962666022119202,0.00440855133944395,0.03239158168905875,0.04507891110721619,0.07718867719953248
PBIAS_test_all_pct,200,0.46758629561675624,3.825332349533997,-9.358566930717291,9.241906412534734,-7.058374743579168,-3.329396625650033,-1.896266602211928,0.4408551339443971,3.2391581689058793,4.507891110721621,7.718867719953251
n_train_all,200,683.0,0.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0
n_test_all,200,170.0,0.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
