Groups,Species,Species_ID,Origin,Origin_ID,SI,A_years,H_m,DBH_cm,N_trees,RS(P),BA_sq_m_ha,GS_cub_m,ALL_STEM_t_ha,Stem_wood_t_ha,Stem_bark_t_ha,Crown_t_ha,Foliage_t_ha,LN_GS_cub_m,LN_ALL_STEM_t_ha,LN_Stem_wood_t_ha,LN_Stem_bark_t_ha,LN_Crown_t_ha,LN_Foliage_t_ha
1,Pine,0,n,0,-1,31,15.9,16.2,1518,0.9,31.3,262.6,107.7,99.5,8.2,9.31,5.94,5.57,4.68,4.60,2.10,2.23,1.78
1,Pine,0,n,0,0,83,29.1,35.3,523,0.81,40.4,507,234,,,10.14,4.06,6.23,5.46,,,2.32,1.40
1,Pine,0,n,0,0,30,15.2,14.5,2453,1.17,40.4,300.3,116.5,103.5,13,10.51,7.88,5.70,4.76,4.64,2.56,2.35,2.06
1,Pine,0,n,0,0,28,14.2,14.2,2213,1.09,35.2,251.4,93.5,83,10.6,9.05,5.96,5.53,4.54,4.42,2.36,2.20,1.79
1,Pine,0,n,0,0,26,13.7,12,3217,1.12,36.4,246,99.2,88.4,10.8,8.83,6.46,5.51,4.60,4.48,2.38,2.18,1.87
1,Pine,0,n,0,0,40,19.3,15.8,1670,0.84,32.7,304,124,113.7,10.2,4.17,3.55,5.72,4.82,4.73,2.32,1.43,1.27
1,Pine,0,n,0,1,18,8.4,11.7,2690,1.23,29.9,122,40.2,35.5,4.7,7.55,6.2,4.80,3.69,3.57,1.55,2.02,1.82
1,Pine,0,n,0,1,28,12.1,12.9,2380,1.08,31.2,189,72,64.9,7.1,5.87,4.32,5.24,4.28,4.17,1.96,1.77,1.46
1,Pine,0,n,0,0,32,15.4,14.4,1120,0.63,25.4,164,64,,,8.2,3.28,5.10,4.16,,,2.10,1.19
1,Pine,0,n,0,0,35,16.1,17.4,1132,0.88,36.3,245,97,,,17.15,6.62,5.50,4.57,,,2.84,1.89
1,Pine,0,n,0,-2,17,10.6,10.6,3750,0.94,28.8,160,57,,,11.2,7.68,5.08,4.04,,,2.42,2.04
1,Pine,0,n,0,-2,22,13.1,15.7,2674,0.7,26,152,56,,,10.64,7.9,5.02,4.03,,,2.36,2.07
1,Pine,0,n,0,2,10,3.6,4.2,4200,0.77,6.3,20,7,,,4.8,3.44,3.00,1.95,,,1.57,1.24
1,Pine,0,n,0,1,18,8.1,7.6,3970,0.83,17.8,77.6,28,,,8.58,5.85,4.35,3.33,,,2.15,1.77
1,Pine,0,n,0,1,38,15.2,15.5,1592,0.85,29.9,210,83,,,10.5,5.46,5.35,4.42,,,2.35,1.70
1,Pine,0,n,0,-2,55,26.2,25.5,804,0.86,41,504.1,216,,,15.3,6.12,6.22,5.38,,,2.73,1.81
1,Oak,5,n,0,2,140,28.8,43.6,,0.89,36.8,480,,,,66.72,4.32,6.17,,,,4.20,1.46
1,Oak,5,n,0,2,250,31,94,,0.72,31,432,228,190.8,37.2,69.12,3.46,6.07,5.43,5.25,3.62,4.24,1.24
1,Oak,5,n,0,1,80,25,34,,0.62,23.6,271,183,161.3,21.7,56.91,2.71,5.60,5.21,5.08,3.08,4.04,1.00
1,Oak,5,n,0,0,59,22.1,,1723,1.04,36.7,378,235.6,196.1,39.5,65.9,6.84,5.93,5.46,5.28,3.68,4.19,1.92
1,Oak,5,n,0,3,80,20,28,320,0.91,30.1,229.5,126.6,,,19.9,2.8,5.44,4.84,,,2.99,1.03
1,Oak,5,n,0,1,60,20,27,268,0.83,27.5,193.3,107.6,,,21.55,2.62,5.26,4.68,,,3.07,0.96
1,Oak,5,n,0,2,80,23,30,380,1,36.2,292,163.7,,,24.9,2.9,5.68,5.10,,,3.21,1.06
1,Aspen,4,n,0,0,29,19.3,17.7,1407,1.27,32.7,370,156.7,137.4,19.3,27.2,3.7,5.91,5.05,4.92,2.96,3.30,1.31
1,Aspen,4,n,0,0,17,12.2,8.1,4644,1.05,23.7,152,61.3,52,9.3,13.8,3.5,5.02,4.12,3.95,2.23,2.62,1.25
1,Aspen,4,n,0,0,26,16.6,14.9,1189,0.73,20.7,169,67.2,56.6,10.6,16.5,3.4,5.13,4.21,4.04,2.36,2.80,1.22
1,Aspen,4,n,0,0,52,24.5,25.8,670,1.08,35,450,188.2,165.9,22.3,33.5,5.3,6.11,5.24,5.11,3.10,3.51,1.67
1,Aspen,4,n,0,0,40,21,18.6,957,0.82,25.9,272,120.4,105.9,14.5,21.8,3.7,5.61,4.79,4.66,2.67,3.08,1.31
1,Aspen,4,n,0,1,34,17.5,15.7,1538,1.08,29.7,262,109,92.8,16.2,32.4,4.9,5.57,4.69,4.53,2.79,3.48,1.59
1,Aspen,4,n,0,0,33,20.7,17.9,1183,1.03,29.9,333,139.3,122.6,16.7,23.7,4.3,5.81,4.94,4.81,2.82,3.17,1.46
1,Aspen,4,n,0,0,27,17.6,14,3167,1.66,48.9,419,193.9,169.6,24.3,38,4.8,6.04,5.27,5.13,3.19,3.64,1.57
1,Aspen,4,n,0,-1,22,15.7,11,2076,0.76,19.9,161,68.3,58,10.3,11.5,2.7,5.08,4.22,4.06,2.33,2.44,0.99
1,Aspen,4,n,0,-2,15,13.8,8.6,2400,0.61,14.4,107,15.1,12.9,2.2,2.8,2.1,4.67,2.71,2.56,0.79,1.03,0.74
1,Aspen,4,n,0,-1,14,12.9,8.3,3845,0.93,21,146,87.6,74.4,13.2,18,4.3,4.98,4.47,4.31,2.58,2.89,1.46
1,Aspen,4,n,0,-2,42,25.7,26.4,730,1.06,39.8,475,245.4,216.7,28.7,50.6,5.5,6.16,5.50,5.38,3.36,3.92,1.70
1,Aspen,4,n,0,1,14,9.7,6.2,6570,1,19.4,100,65,53.9,11.1,15,4.2,4.61,4.17,3.99,2.41,2.71,1.44
1,Aspen,4,n,0,0,51,25.1,24.8,779,0.96,37.6,416,166.8,145.4,21.4,36.1,4.9,6.03,5.12,4.98,3.06,3.59,1.59
1,Aspen,4,n,0,0,10,7.5,4.6,10133,1.21,17,83,37.4,30.3,7.1,8,2.2,4.42,3.62,3.41,1.96,2.08,0.79
1,Aspen,4,n,0,-1,44,25.3,26.4,737,1.03,40.4,448.8,189.4,166.2,23.2,39.5,5.53,6.11,5.24,5.11,3.14,3.68,1.71
1,Aspen,4,n,0,-1,18,13,7.4,4492,0.9,19.2,144,61.1,53.1,8,8.3,2.8,4.97,4.11,3.97,2.08,2.12,1.03
1,Aspen,4,n,0,-2,16,14.5,10.5,2936,1.01,25.4,190,83.4,72.7,10.7,15.1,3.7,5.25,4.42,4.29,2.37,2.71,1.31
1,Aspen,4,n,0,-1,19,15.4,9.3,2343,0.61,16,125,50.1,43.7,6.4,7.1,2.6,4.83,3.91,3.78,1.86,1.96,0.96
1,Aspen,4,n,0,-1,21,15.5,10.8,2740,0.98,25,204,81.6,71.2,10.4,13.5,3.3,5.32,4.40,4.27,2.34,2.60,1.19
1,Aspen,4,n,0,-1,13,9.7,5.6,6475,0.86,15.9,87,37.4,31.1,6.3,7.3,3,4.47,3.62,3.44,1.84,1.99,1.10
1,Aspen,4,n,0,0,41,22.1,19.3,920,0.82,27,292,125.8,108.5,17.3,20.4,3.4,5.68,4.83,4.69,2.85,3.02,1.22
1,Aspen,4,n,0,-1,18,13.1,10.2,2108,0.69,17.4,111,48.5,41.5,7,14.3,3.5,4.71,3.88,3.73,1.95,2.66,1.25
1,Aspen,4,n,0,-1,41,26,28,680,1.15,41.8,523,229.9,203.8,26.1,50.2,5.7,6.26,5.44,5.32,3.26,3.92,1.74
1,Aspen,4,n,0,1,34,18.3,19.3,1079,1.08,31.6,279,118.2,99.9,18.3,34.2,4.9,5.63,4.77,4.60,2.91,3.53,1.59
1,Aspen,4,n,0,1,13,8,4.5,9593,1.04,15.2,78,31.4,25.7,5.7,6.2,2.6,4.36,3.45,3.25,1.74,1.82,0.96
1,Aspen,4,n,0,0,35,20.7,18.2,1206,1.2,31.4,387,160.2,140.5,19.7,25.1,4.3,5.96,5.08,4.95,2.98,3.22,1.46
1,Aspen,4,n,0,1,6,2.7,1.8,31600,1.66,7.9,24,9.6,7.4,2.2,3.3,1.8,3.18,2.26,2.00,0.79,1.19,0.59
1,Aspen,4,n,0,-1,10,7.9,3.9,22842,1.71,27.6,127,54.9,43.6,11.3,5.9,3.5,4.84,4.01,3.78,2.42,1.77,1.25
1,Aspen,4,n,0,0,12,7.2,3.9,22333,1.87,27.2,120,52.7,41.1,11.6,6.9,3.6,4.79,3.96,3.72,2.45,1.93,1.28
1,Aspen,4,n,0,0,12,7.7,4.5,12850,1.3,20.6,93,41.5,32,9.5,10.3,3.3,4.53,3.73,3.47,2.25,2.33,1.19
1,Aspen,4,n,0,-1,16,12.8,10.1,2343,0.75,19,116,47.1,39.2,7.9,13.4,3.2,4.75,3.85,3.67,2.07,2.60,1.16
1,Alder,3,n,0,1,40,18.6,16.6,1707,1.3,36.8,329.9,140.5,122,18.5,12.77,4.45,5.80,4.95,4.80,2.92,2.55,1.49
1,Alder,3,n,0,2,58,21,19.1,856,0.8,24.5,271.2,124.8,109.2,15.6,7.73,2.08,5.60,4.83,4.69,2.75,2.05,0.73
1,Alder,3,n,0,3,23,10,9.9,2020,1.1,15.5,92.4,41,34,7,6.56,3.31,4.53,3.71,3.53,1.95,1.88,1.20
1,Alder,3,n,0,2,34,15.7,12.3,2140,1.1,25.3,241.9,93.5,79.4,14.1,5.79,1.61,5.49,4.54,4.37,2.65,1.76,0.48
1,Alder,3,n,0,1,36,19.1,19,1520,1.6,43,438.3,188.3,157.2,31.1,19.39,3.99,6.08,5.24,5.06,3.44,2.96,1.38
1,Alder,3,n,0,0,36,19.8,16.4,1927,1.4,40.9,388.1,173.9,147.8,26.2,15.59,4.57,5.96,5.16,5.00,3.27,2.75,1.52
1,Alder,3,n,0,2,33,15.1,15.1,1760,1.5,31.5,255.1,103.3,81.3,22,7.88,2.52,5.54,4.64,4.40,3.09,2.06,0.92
1,Alder,3,n,0,1,26,14.6,12.5,1210,0.7,15,107.9,42.6,36.9,5.7,5.08,2.28,4.68,3.75,3.61,1.74,1.63,0.82
1,Alder,3,n,0,2,48,19.4,23.5,968,1.4,41.8,428.8,199,169.6,29.4,27.57,5.13,6.06,5.29,5.13,3.38,3.32,1.64
1,Alder,3,n,0,0,25,16.9,12.4,3350,1.7,40.2,348.8,136.8,114,22.8,12.09,3.98,5.85,4.92,4.74,3.13,2.49,1.38
1,Alder,3,n,0,1,34,16.2,12.5,2780,1.5,33.9,277,123.5,103.1,20.4,12.57,4.51,5.62,4.82,4.64,3.02,2.53,1.51
1,Alder,3,n,0,2,55,20.4,20.5,828,0.9,27.4,294.6,134.1,115.6,18.5,10,1.94,5.69,4.90,4.75,2.92,2.30,0.66
1,Alder,3,n,0,2,41,17.4,16.3,1112,0.9,23.3,190.4,81.7,68.4,13.3,7.39,1.91,5.25,4.40,4.23,2.59,2.00,0.65
1,Alder,3,n,0,3,56,18.2,17.5,896,0.8,21.6,195.6,93,81.1,11.9,6.97,1.68,5.28,4.53,4.40,2.48,1.94,0.52
1,Alder,3,n,0,1,32,13.1,11,1940,1,18.4,141.7,63.2,53.1,10.1,10.01,3.56,4.95,4.15,3.97,2.31,2.30,1.27
1,Alder,3,n,0,1,26,14.5,10,3540,1.3,28,228.8,98.8,84.4,14.4,7.87,3.61,5.43,4.59,4.44,2.67,2.06,1.28
1,Alder,3,n,0,2,56,21.9,20.2,820,0.8,26.2,280.7,119.9,102.6,17.3,8.18,2.04,5.64,4.79,4.63,2.85,2.10,0.71
1,Alder,3,n,0,1,49,22.7,21,884,0.9,30.5,320.6,149.1,125.1,24,3.73,0.85,5.77,5.00,4.83,3.18,1.32,-0.16
1,Alder,3,n,0,1,39,18.5,17.9,1068,1,27,236.6,116.6,101,15.6,7.13,2.14,5.47,4.76,4.62,2.75,1.96,0.76
1,Alder,3,n,0,2,51,20.8,20.1,1124,1.2,35.7,331.8,151.7,131.3,20.4,7.12,1.8,5.80,5.02,4.88,3.02,1.96,0.59
1,Alder,3,n,0,1,28,15.9,12,3320,1.6,37.4,319.8,138.5,117,21.6,6.26,3.09,5.77,4.93,4.76,3.07,1.83,1.13
1,Alder,3,n,0,1,27,16.4,12.1,3230,1.6,37.2,316.6,148.6,133.3,15.3,5.3,2.48,5.76,5.00,4.89,2.73,1.67,0.91
1,Alder,3,n,0,0,20,13.1,8.9,3270,1.1,20.2,124.5,47.5,39.8,7.7,5.86,2.98,4.82,3.86,3.68,2.04,1.77,1.09
1,Alder,3,n,0,2,44,17.6,16.8,1048,0.9,23.4,190.2,89,76.4,12.6,5.38,1.47,5.25,4.49,4.34,2.53,1.68,0.39
1,Alder,3,n,0,2,31,14.6,12.5,3270,1.9,40.1,307.8,131.7,109.2,22.5,7.84,3.36,5.73,4.88,4.69,3.11,2.06,1.21
1,Alder,3,n,0,-1,11,6.4,3.1,33900,2,25.6,118.8,38,30.2,7.8,6.74,7.58,4.78,3.64,3.41,2.05,1.91,2.03
1,Alder,3,n,0,3,13,5.2,3.2,9200,1.1,7.4,27.8,11,8.7,2.3,1.9,1.8,3.33,2.40,2.16,0.83,0.64,0.59
1,Alder,3,n,0,3,29,12.3,8.5,2625,0.9,15.6,113.4,34.2,29.6,4.6,2,0.8,4.73,3.53,3.39,1.53,0.69,-0.22
1,Alder,3,n,0,3,51,17.3,16.3,1350,1.2,28.4,265.7,80,70.4,9.6,8.2,2.2,5.58,4.38,4.25,2.26,2.10,0.79
1,Alder,3,n,0,2,26,11.7,9.6,2475,1.1,17.8,112.4,46.3,39.3,7,6.5,2.4,4.72,3.84,3.67,1.95,1.87,0.88
1,Alder,3,a,1,2,33,16,12.4,1700,0.9,20.6,173.9,79.3,68.2,11.1,5.8,2,5.16,4.37,4.22,2.41,1.76,0.69
1,Birch,2,n,0,-1,29,17.1,15.1,947,0.8,17.2,138,71.6,59.9,11.7,9.8,2.2,4.93,4.27,4.09,2.46,2.28,0.79
1,Birch,2,n,0,0,20,10.7,7.7,2950,0.97,13.6,77,41,31.1,9.9,11.1,2.2,4.34,3.71,3.44,2.29,2.41,0.79
1,Birch,2,n,0,-1,12,7.3,3.4,8180,0.93,8.4,39,21.5,17.8,3.7,7.3,1.2,3.66,3.07,2.88,1.31,1.99,0.18
1,Birch,2,n,0,-2,23,15,13.2,1390,0.95,19.1,133,69.8,57.6,12.2,12.7,2.1,4.89,4.25,4.05,2.50,2.54,0.74
1,Birch,2,n,0,-1,23,13.4,8.9,1767,0.76,11.3,88,48.8,40.7,8.1,8.9,1.4,4.48,3.89,3.71,2.09,2.19,0.34
1,Birch,2,n,0,-1,35,19.4,18.7,836,0.95,22.9,202,111.3,93.2,18.1,10.8,2,5.31,4.71,4.53,2.90,2.38,0.69
1,Birch,2,n,0,-3,23,18.4,16.4,1205,1.1,25.8,214,107.4,92.4,15,17.7,2.6,5.37,4.68,4.53,2.71,2.87,0.96
1,Birch,2,n,0,-2,11,7,4.1,5383,0.79,7.3,31,16.7,11.8,4.9,4.2,0.6,3.43,2.82,2.47,1.59,1.44,-0.51
1,Birch,2,a,1,-1,34,19.4,15.8,1260,0.84,24.7,179,97.4,82,15.4,10.6,3.5,5.19,4.58,4.41,2.73,2.36,1.25
1,Birch,2,a,1,0,21,9.9,6.6,6760,1.79,23.3,125,64.9,49.3,15.6,7.8,3.9,4.83,4.17,3.90,2.75,2.05,1.36
1,Birch,2,a,1,-3,31,19.6,14.4,1340,0.95,21.9,205,113.8,91.7,22.1,15.4,3.8,5.32,4.73,4.52,3.10,2.73,1.34
1,Birch,2,a,1,0,21,10.1,7,5980,1.9,23.9,137,75.7,60.5,15.2,7.5,4.1,4.92,4.33,4.10,2.72,2.01,1.41
1,Birch,2,a,1,-1,60,26.5,27.3,525,0.96,30.7,341,175.6,137.2,38.4,22.4,5.2,5.83,5.17,4.92,3.65,3.11,1.65
1,Birch,2,a,1,-3,14,9.7,6.4,3500,0.95,11.3,64,33.3,26.5,6.8,3.7,2.3,4.16,3.51,3.28,1.92,1.31,0.83
1,Birch,2,a,1,-3,8,7.1,3.7,11300,1.43,12.1,57,30.8,19.8,11,5.2,3.8,4.04,3.43,2.99,2.40,1.65,1.34
1,Pine,0,n,0,0,45,22.3,22.4,1590,1.32,36.3,353,198.3,179.5,18.8,16.3,4.8,5.87,5.29,5.19,2.93,2.79,1.57
1,Pine,0,n,0,0,23,12.5,9.9,2260,1.38,20.2,142,63.8,52.9,10.9,7.1,4.8,4.96,4.16,3.97,2.39,1.96,1.57
1,Birch,2,n,0,0,18,9,5.2,7500,1.13,13.3,67,35,28.4,6.6,3.6,2.8,4.20,3.56,3.35,1.89,1.28,1.03
1,Pine,0,n,0,0,13,4.2,2.4,5440,0.74,6.4,23,14,11,3,5.2,3.9,3.14,2.64,2.40,1.10,1.65,1.36
1,Pine,0,n,0,-1,34,18.2,14.1,1530,0.52,25.7,186,97,81.2,15.8,7,3.2,5.23,4.57,4.40,2.76,1.95,1.16
1,Birch,2,n,0,3,29,8.7,7.9,2402,1.15,11.9,73,36.9,27.4,9.5,4.4,2.7,4.29,3.61,3.31,2.25,1.48,0.99
1,Birch,2,n,0,1,22,9.2,7.1,2746,0.76,10.6,51,24.7,19.3,5.4,6.2,3.5,3.93,3.21,2.96,1.69,1.82,1.25
1,Birch,2,n,0,1,19,8.4,6.6,1714,0.5,5.9,29,15,12.1,2.9,2.6,1.6,3.37,2.71,2.49,1.06,0.96,0.47
1,Birch,2,n,0,-1,57,24.8,26,637,0.84,33.8,268,159.8,142.2,17.6,6.8,1.5,5.59,5.07,4.96,2.87,1.92,0.41
1,Birch,2,n,0,-1,24,14.4,11.7,2200,0.91,19.5,118,77.4,70.9,6.5,4.9,2.1,4.77,4.35,4.26,1.87,1.59,0.74
1,Birch,2,a,1,0,57,23.6,26.5,580,0.94,27.3,275,129.7,109.6,20.1,10,4.3,5.62,4.87,4.70,3.00,2.30,1.46
1,Birch,2,,,-1,44,22.5,25.3,633,1.36,31.8,371,173.4,159.3,14.1,5.1,1.5,5.92,5.16,5.07,2.65,1.63,0.41
1,Birch,2,n,0,0,59,25.6,30.7,464,0.8,27.8,269,159.2,152.3,6.9,4.6,0.9,5.59,5.07,5.03,1.93,1.53,-0.11
1,Birch,2,n,0,2,21,13.4,12.7,2060,1.62,28,199,100.7,84.6,16.1,14.4,4.7,5.29,4.61,4.44,2.78,2.67,1.55
1,Birch,2,a,1,1,66,21.1,25.6,570,0.78,21,192,103.3,95.1,8.2,22.1,2.8,5.26,4.64,4.55,2.10,3.10,1.03
1,Birch,2,a,1,1,45,20.8,16.7,1016,0.85,21.1,205.4,114.7,94,20.7,11.7,3.8,5.32,4.74,4.54,3.03,2.46,1.34
1,Birch,2,a,1,1,45,21.2,19,733,0.67,19.4,167,100.1,80.7,19.4,13.3,4.5,5.12,4.61,4.39,2.97,2.59,1.50
1,Birch,2,n,0,0,45,21.5,19.4,576,0.47,12.9,120,90.5,73.3,17.2,13.3,3.5,4.79,4.51,4.29,2.84,2.59,1.25
1,Birch,2,n,0,1,22,12.9,7,3617,0.87,13,100,44.1,33.8,10.3,4.5,3.7,4.61,3.79,3.52,2.33,1.50,1.31
1,Birch,2,n,0,-3,15,11.3,5.8,4713,0.76,12.3,72,41.9,32.7,9.2,41.5,16.1,4.28,3.74,3.49,2.22,3.73,2.78
1,Birch,2,n,0,0,59,24.7,24.3,578,0.83,26.9,263,152.1,117.4,34.7,18.7,3,5.57,5.02,4.77,3.55,2.93,1.10
1,Pine,0,a,1,1,15,6.5,6.3,,0.83,16.7,54.1,17.3,15.4,1.9,4.3,3.21,3.99,2.85,2.73,0.64,1.46,1.17
1,Pine,0,a,1,1,28,12.5,9.9,,1.23,39.9,226.7,83.4,75.7,7.6,12.59,5.1,5.42,4.42,4.33,2.03,2.53,1.63
1,Pine,0,a,1,0,42,18.7,19.7,,0.96,38.1,332.5,141.7,130.7,11,15.78,4.47,5.81,4.95,4.87,2.40,2.76,1.50
1,Pine,0,a,1,0,53,21.4,22.1,,0.8,34.2,337.8,159.9,148.8,11.2,15.82,4.68,5.82,5.07,5.00,2.42,2.76,1.54
1,Pine,0,a,1,0,72,26.1,29.9,,0.95,44.5,521.1,296.3,279.6,16.7,17.03,4.21,6.26,5.69,5.63,2.82,2.83,1.44
1,Pine,0,n,0,1,140,31.5,48.2,212,0.69,35.5,449,212.1,,,22.5,3.49,6.11,5.36,,,3.11,1.25
1,Pine,0,n,0,0,200,38.3,54.4,223,0.85,48,735,310.7,,,27.3,7.77,6.60,5.74,,,3.31,2.05
1,Pine,0,n,0,1,130,24.7,31.8,362,0.7,34,339,133.7,,,12.2,3.15,5.83,4.90,,,2.50,1.15
1,Pine,0,n,0,1,169,30.8,38.6,276,0.72,36.7,455,211,,,19.2,11.9,6.12,5.35,,,2.95,2.48
1,Pine,0,n,0,4,66,13.5,17.7,1070,0.96,31.3,185,88.8,79.2,9.6,12.95,10.09,5.22,4.49,4.37,2.26,2.56,2.31
1,Pine,0,n,0,3,96,20.1,23.2,830,0.99,35.6,330,143.9,139.3,4.6,20.87,10.86,5.80,4.97,4.94,1.53,3.04,2.39
1,Pine,0,n,0,3,71,18.2,20.6,1010,0.99,35,290,118.9,110.2,8.7,9.94,5.69,5.67,4.78,4.70,2.16,2.30,1.74
1,Pine,0,n,0,2,43,13.8,14.9,1380,0.82,31.1,170,64.2,58,6.2,11.77,7.02,5.14,4.16,4.06,1.82,2.47,1.95
1,Pine,0,n,0,2,51,16.3,15.2,1790,0.97,40.4,255,120.3,113.1,7.2,12.62,6.6,5.54,4.79,4.73,1.97,2.54,1.89
1,Pine,0,n,0,1,47,16.1,18.4,1070,0.84,34.8,225,96.8,88.3,8.5,11.58,4.5,5.42,4.57,4.48,2.14,2.45,1.50
1,Pine,0,n,0,1,47,16.6,18.3,630,0.49,20.6,137,44.6,41.3,3.3,12.33,5.3,4.92,3.80,3.72,1.19,2.51,1.67
1,Pine,0,n,0,1,45,15.7,14.9,1840,0.96,39.3,248,108,102,6,14,6.85,5.51,4.68,4.62,1.79,2.64,1.92
1,Pine,0,n,0,0,13,6.8,5.8,5950,0.88,18.9,62,20.5,17.3,3.2,6.43,4.72,4.13,3.02,2.85,1.16,1.86,1.55
1,Pine,0,n,0,1,51,18.6,16.9,1710,1.03,45.7,340,136.1,125.5,10.6,10.55,6.93,5.83,4.91,4.83,2.36,2.36,1.94
1,Pine,0,n,0,1,54,19,18.9,1040,0.78,34.9,265,150.2,142,8.2,13.78,6.55,5.58,5.01,4.96,2.10,2.62,1.88
1,Pine,0,n,0,1,55,19.9,21.8,860,0.83,37.7,300,100.8,93.3,7.5,19.48,6.84,5.70,4.61,4.54,2.01,2.97,1.92
1,Pine,0,n,0,1,52,19.8,21,900,0.81,36.6,290,113.8,108.6,5.2,10.07,6.58,5.67,4.73,4.69,1.65,2.31,1.88
1,Pine,0,n,0,1,52,18.6,19.8,1110,0.91,40.3,300,114.1,102.1,12,11.75,6.42,5.70,4.74,4.63,2.48,2.46,1.86
1,Pine,0,n,0,1,42,15.3,17.1,1006,0.71,28.6,176,88.9,83,5.9,12.18,5.56,5.17,4.49,4.42,1.77,2.50,1.72
1,Pine,0,n,0,2,60,18.4,19.6,1150,0.98,43.1,305,192.2,179.8,12.4,18.95,9.83,5.72,5.26,5.19,2.52,2.94,2.29
1,Pine,0,n,0,1,50,17.5,17,1730,1.11,47.8,335,171.9,155.8,16.1,13.18,7.81,5.81,5.15,5.05,2.78,2.58,2.06
1,Pine,0,n,0,1,36,13.4,13,1906,0.84,31.3,171,90.2,85.1,5.1,13.22,5.82,5.14,4.50,4.44,1.63,2.58,1.76
1,Pine,0,n,0,0,27,13,11.4,2783,1.09,40,220,84.4,78.7,5.7,11.8,5.64,5.39,4.44,4.37,1.74,2.47,1.73
1,Pine,0,n,0,-1,40,21.1,20,1560,1.11,51.1,485,272,248.8,23.2,17.82,9,6.18,5.61,5.52,3.14,2.88,2.20
1,Pine,0,n,0,2,50,15,16.5,1640,1.11,44.3,260,135.9,124.1,11.8,12.54,8.32,5.56,4.91,4.82,2.47,2.53,2.12
1,Pine,0,n,0,2,79,22,22.8,780,0.81,38,320,131.2,121.7,9.5,11.62,5.22,5.77,4.88,4.80,2.25,2.45,1.65
1,Pine,0,n,0,2,71,19.4,20.3,970,0.85,38.3,285,120.3,113,7.3,11.11,6.79,5.65,4.79,4.73,1.99,2.41,1.92
1,Pine,0,n,0,2,53,16.2,17.8,1220,0.94,38.8,244,122.5,113.6,8.9,11.92,3.85,5.50,4.81,4.73,2.19,2.48,1.35
1,Pine,0,n,0,2,75,20.1,21.4,1030,1.02,46.1,355,160.6,147.6,13,10.33,4.63,5.87,5.08,4.99,2.56,2.34,1.53
1,Pine,0,n,0,2,60,18.4,21,830,0.82,35.9,254,122.6,114.9,7.7,8.65,4.25,5.54,4.81,4.74,2.04,2.16,1.45
1,Pine,0,n,0,3,64,17.3,19.1,980,0.86,30.1,236,114.9,107.5,7.4,10.13,5.53,5.46,4.74,4.68,2.00,2.32,1.71
1,Pine,0,n,0,1,44,16.6,14.2,1880,0.7,29.6,197,93.7,85.4,8.3,11.38,5.14,5.28,4.54,4.45,2.12,2.43,1.64
1,Pine,0,n,0,2,49,15.8,17.3,1410,1.05,43.1,265,100.5,91.2,9.3,16.84,8.34,5.58,4.61,4.51,2.23,2.82,2.12
1,Pine,0,n,0,2,43,14.6,13.8,1600,0.78,30.9,177,72.3,64.9,7.4,9.41,3.87,5.18,4.28,4.17,2.00,2.24,1.35
1,Pine,0,n,0,2,82,21,23.9,830,1,46.1,370,172.8,161,11.8,19.6,7.66,5.91,5.15,5.08,2.47,2.98,2.04
1,Pine,0,n,0,3,64,16.6,16.3,1690,1.11,38.7,290,140.5,128.2,12.3,9.82,7.69,5.67,4.95,4.85,2.51,2.28,2.04
1,Pine,0,n,0,2,43,14.1,14.4,1520,0.82,31.8,177,75.5,68.3,7.2,15.03,5.94,5.18,4.32,4.22,1.97,2.71,1.78
1,Pine,0,n,0,3,89,21.4,23.2,810,0.94,34.2,340,163.1,154.7,8.4,11.6,4.58,5.83,5.09,5.04,2.13,2.45,1.52
1,Pine,0,n,0,2,49,16.2,18.4,1360,1.03,43,270,120.8,110.9,9.9,13.49,7.49,5.60,4.79,4.71,2.29,2.60,2.01
1,Pine,0,n,0,2,85,22.5,23.3,860,0.95,44.8,385,141.7,132.2,9.5,10.82,5.41,5.95,4.95,4.88,2.25,2.38,1.69
1,Pine,0,n,0,0,44,19.5,17.9,1510,0.94,42.3,347,132.2,122.6,9.6,12.5,6.62,5.85,4.88,4.81,2.26,2.53,1.89
1,Pine,0,n,0,1,15,6.1,6.2,6000,1.14,21.7,67,23.9,21,3,7.88,5.77,4.20,3.17,3.04,1.10,2.06,1.75
1,Pine,0,n,0,5,35,5.5,6.1,6070,1.48,24.9,86,27.9,23.5,4.4,10.4,4.3,4.45,3.33,3.16,1.48,2.34,1.46
1,Pine,0,n,0,2,43,14.2,12.3,2049,0.71,27.5,154,78.5,72,6.6,11.3,4.86,5.04,4.36,4.28,1.89,2.42,1.58
1,Pine,0,n,0,1,51,18.6,16.9,1710,1.03,45.7,340,136.1,125.5,10.6,10.5,6.93,5.83,4.91,4.83,2.36,2.35,1.94
1,Pine,0,n,0,1,48,17.5,17.5,1270,0.9,38.5,270,119.1,109.7,9.4,10.8,7.6,5.60,4.78,4.70,2.24,2.38,2.03
1,Pine,0,n,0,0,50,21,28,630,0.67,30.9,274,96.6,89.2,7.4,13.4,6.4,5.61,4.57,4.49,2.00,2.60,1.86
1,Pine,0,n,0,4,56,10.3,12.6,2230,0.86,24.5,116,48.8,43.5,5.3,13.1,5.74,4.75,3.89,3.77,1.67,2.57,1.75
