iter,Species,n_train,n_test,a0,a_DBH_cm,a_H_m,a_BA_sq_m_sq_m,SE_a0,SE_a_DBH_cm,SE_a_H_m,SE_a_BA_sq_m_sq_m,CI95_lo_a0,CI95_hi_a0,CI95_lo_a_DBH_cm,CI95_hi_a_DBH_cm,CI95_lo_a_H_m,CI95_hi_a_H_m,CI95_lo_a_BA_sq_m_sq_m,CI95_hi_a_BA_sq_m_sq_m,success
1,Alder,92,23,0.1606979918750488,-0.1466883665281349,1.2168458846022112,1.0326832487111155,0.034557450377761714,0.07283457901328468,0.13089839123070365,0.04093883332962557,0.09202232098491689,0.2293736627651807,-0.2914317872104805,-0.0019449458457893032,0.9567128383867287,1.4769789308176937,0.9513259201571381,1.1140405772650928,True
1,Aspen,53,13,0.3460104534951081,0.07759812696905176,0.693332689548069,1.0671145607756953,0.20549053648731494,0.2798976233939566,0.4424635488820562,0.078463741194336,-0.06693824009420246,0.7589591470844187,-0.48487720593476913,0.6400734598728727,-0.19583110161763395,1.582496480713772,0.9094357694590403,1.2247933520923504,True
1,Birch,96,24,0.8366680490834647,0.05848979431968068,0.6752157295199989,0.8471046250993216,0.1941581988261033,0.08850346603409961,0.1289903387776031,0.059613925015333274,0.451053107071064,1.2222829910958655,-0.11728572857339364,0.234265317212755,0.4190297826549106,0.9314016763850872,0.7287062243266175,0.9655030258720257,True
1,Oak,71,18,0.28515401417430014,-0.09178439025031349,1.1138587018637618,0.9783905205362263,0.060858548348411166,0.06221924844914029,0.11128790597953059,0.055683119472627655,0.16367984325701906,0.4066281850915812,-0.21597452993597296,0.03240574943534599,0.891727111826637,1.3359902919008866,0.8672465488906729,1.0895344921817798,True
1,Pine,366,91,0.4287565391583608,-0.5552104623471303,1.6337978206240302,0.7097583525183873,0.04425101017026732,0.055187652410878814,0.07371857220014429,0.03095521936857649,0.34173521016576275,0.5157778681509588,-0.6637391227844254,-0.44668180190983525,1.488827387189638,1.7787682540584224,0.6488837121803255,0.770632992856449,True
1,Spruce,6,1,4.705933955981816,0.12289480397195476,1.2079429935114374,-0.18884410305220353,6.094381184996208,0.24024654317230226,0.8344436968321322,1.1296978318083357,-21.516071885450927,30.92793979741456,-0.9108026408084137,1.1565922487523232,-2.382378456441076,4.7982644434639505,-5.049541562814152,4.671853356709745,True
2,Alder,92,23,0.17110528280478748,-0.1561861331222722,1.2214055451996424,1.0157697407187807,0.04074248396199634,0.07907649770870388,0.14204755978209763,0.04824039779696578,0.0901381573590657,0.25207240825050925,-0.3133340555651246,0.000961789320580192,0.9391158693206803,1.5036952210786045,0.9199020871014467,1.1116373943361146,True
2,Aspen,53,13,0.42755368226444906,0.144369814311532,0.5770889389674921,1.0509541945840284,0.23022351657525708,0.24615095518298757,0.385821731552409,0.08134106698746328,-0.03509779565000065,0.8902051601788987,-0.3502890498199091,0.6390286784429731,-0.19824885870655407,1.3524267366415383,0.8874932006043514,1.2144151885637053,True
2,Birch,96,24,1.0917469426325028,0.1316134173417544,0.620227340312072,0.7490144809897449,0.23489404762911065,0.08357603238912609,0.12055604204018168,0.05569265270637238,0.6252270887030591,1.5582667965619466,-0.034375797011353376,0.29760263169486223,0.380792634790282,0.8596620458338621,0.6384040654949074,0.8596248964845824,True
2,Oak,71,18,0.26481881762281917,-0.1026699604794197,1.0865493963316364,1.0357991897746146,0.052386470457463,0.06346764335826786,0.11855500532921744,0.052003889756525375,0.16025498495182364,0.3693826502938147,-0.22935190683282047,0.024011985873981068,0.8499126152830049,1.323186177380268,0.9319989913787794,1.1395993881704498,True
