metric,count,mean,std,min,max,q2.5,q15.9,q25,q50,q75,q84.1,q97.5
R2_train_all,200,0.958235375241241,0.00201436176627894,0.9529078777124808,0.9637782566486848,0.9542155327789972,0.9561377797557231,0.9569101553734799,0.9582839456331322,0.9595186536476632,0.9601291699719374,0.9620343247416545
R2_train_all_pct,200,95.82353752412409,0.20143617662789404,95.29078777124808,96.37782566486848,95.42155327789972,95.6137779755723,95.69101553734798,95.82839456331324,95.95186536476632,96.01291699719374,96.20343247416545
RMSE_train_all,200,14.00691171779571,0.3218009352269314,13.005566117338011,14.667525276453704,13.351358347632843,13.682622750891719,13.773425386386087,14.047188638999982,14.231204306005626,14.337521134711052,14.559358482055739
rRMSE_train_all,200,0.1366595501972141,0.0031106570930073533,0.1271946904278863,0.1446262832960845,0.1304521281562236,0.133801040407639,0.13454928466434302,0.1365012495734077,0.13902598475795458,0.13956152213605807,0.1421337128178214
Bias_train_all,200,-0.11326346333247994,0.040868855965012725,-0.232052048259781,0.0167106131290501,-0.1963785172875265,-0.15178372579203098,-0.1410128716461413,-0.11569066637060305,-0.084467015467016,-0.0793053066575123,-0.030459329591409557
rBias_train_all,200,-0.0011053038283940688,0.00039954949558603664,-0.0022396507540544,0.0001646555559115,-0.001890848566103425,-0.0014854236260134195,-0.0013713656234364,-0.00112258313665695,-0.0008248868821657749,-0.0007661426696573696,-0.00029654027242719997
PBIAS_train_all_pct,200,-0.11053038283941163,0.039954949558604076,-0.2239650754054481,0.0164655555911583,-0.18908485661034566,-0.1485423626013431,-0.13713656234364752,-0.11225831366570124,-0.0824886882165838,-0.07661426696574322,-0.029654027242725662
R2_test_all,200,0.9536118565478071,0.00895326474844247,0.9267091468378416,0.9726068361580076,0.9352195522250472,0.9441197216645366,0.9484442575929868,0.9540165763485846,0.9601128721480335,0.9628931538887491,0.9688841030578831
R2_test_all_pct,200,95.36118565478071,0.8953264748442457,92.67091468378416,97.26068361580076,93.52195522250473,94.41197216645367,94.84442575929867,95.40165763485845,96.01128721480335,96.2893153888749,96.88841030578831
RMSE_test_all,200,14.648379085622873,1.3032995529691076,11.554524027027956,18.42619744497695,12.27898747109603,13.31977312036603,13.775165106656777,14.634468152971014,15.591919735301119,15.953273718538595,17.052032501250736
rRMSE_test_all,200,0.1435023328723573,0.012903861916578318,0.1100714517239598,0.1887352456119495,0.11952420213552119,0.1307931446142218,0.1348086414269159,0.14443477777609284,0.15139301442586828,0.15524798735398043,0.16961850740932502
Bias_test_all,200,0.03709395630388921,1.277357849681513,-3.314291279329199,3.540988558478476,-2.296689692826791,-1.1553548275842942,-0.8950242698483,-0.053047560013607345,0.893019335837625,1.201465803729743,2.8279057834524606
rBias_test_all,200,0.0004943508377840277,0.012596974362037732,-0.0307871523368357,0.0371459106439999,-0.02236995844797844,-0.011251011496458007,-0.008767907866507826,-0.0004993836141849,0.008941686152318875,0.01168098660347498,0.02842509836321901
PBIAS_test_all_pct,200,0.04943508377840272,1.2596974362037776,-3.078715233683576,3.714591064399994,-2.2369958447978475,-1.1251011496458063,-0.8767907866507912,-0.04993836141849495,0.8941686152318904,1.1680986603475059,2.8425098363219066
n_train_all,200,684.0,0.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0
n_test_all,200,170.0,0.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0
