metric,count,mean,std,min,max,q2.5,q15.9,q25,q50,q75,q84.1,q97.5
R2_train_all,200,0.9767783020475593,0.001003657854085418,0.9737385545338232,0.9800333375940168,0.974912753021492,0.9758848870631952,0.9760541977757691,0.9767638039543874,0.9773255148871731,0.9779321598068985,0.9785369531879706
R2_train_all_pct,200,97.67783020475595,0.10036578540854284,97.3738554533823,98.00333375940168,97.49127530214922,97.58848870631951,97.60541977757691,97.67638039543874,97.7325514887173,97.79321598068985,97.85369531879705
RMSE_train_all,200,21.998404441697488,0.3850643557761149,20.91643632661952,23.00887412640996,21.238451346477238,21.573714889954758,21.723561767512116,22.070268284632924,22.249498248393312,22.38589139836285,22.59817880822511
rRMSE_train_all,200,0.09610245982708548,0.001716174098317368,0.0913698365017056,0.100502782598011,0.09270494778271914,0.09447247661818359,0.09496981206297422,0.09614132181335075,0.09738346138971929,0.09783883070752608,0.09903646281150852
Bias_train_all,200,-0.6098009820892254,0.05252586685071394,-0.7489354104344724,-0.4907905026022903,-0.7171351528162787,-0.659085538666608,-0.6453956780222406,-0.6103836869561632,-0.5759072703282713,-0.5601763671336927,-0.5075588443270401
rBias_train_all,200,-0.002664145505518465,0.00023153207345418846,-0.0032897523304522,-0.0021282441622632,-0.003134730638841825,-0.002878923573268896,-0.002823514229682125,-0.00267059631208695,-0.002509378022053075,-0.0024314009715676738,-0.002212323163262312
PBIAS_train_all_pct,200,-0.26641455055185154,0.023153207345419115,-0.3289752330452278,-0.2128244162263218,-0.3134730638841914,-0.2878923573268944,-0.2823514229682178,-0.26705963120870224,-0.2509378022053112,-0.24314009715677087,-0.22123231632623477
R2_test_all,200,0.9733345353207592,0.00469776939486269,0.9560567520843,0.9840403964108174,0.9637169237855608,0.968302121684354,0.9705341730088338,0.9737421125630642,0.976881772135488,0.9776596069676668,0.9807753918049291
R2_test_all_pct,200,97.33345353207591,0.46977693948626836,95.60567520843,98.40403964108174,96.37169237855608,96.83021216843541,97.05341730088338,97.37421125630641,97.6881772135488,97.7659606967667,98.07753918049292
RMSE_test_all,200,23.21879046996928,1.6319383173809536,18.567086694210253,27.51770561551048,20.617247807314573,21.616599376073108,22.039464515545866,23.000825877143743,24.39418966143503,24.85294966990168,26.638203522448563
rRMSE_test_all,200,0.10170382403315432,0.007287130993046738,0.083397166433589,0.1204464561368795,0.08928874802592818,0.09434021349989645,0.0961503682712765,0.10167399979194375,0.10638693657250017,0.10864991337874913,0.11696768527421811
Bias_test_all,200,-0.351008728410321,2.044947198598691,-5.525882856518721,6.479816240363974,-4.5340405687472956,-2.403461481984076,-1.851985834354069,-0.183385892820065,1.0623267058625827,1.5804331244319452,3.414934325975685
rBias_test_all,200,-0.001461357183568254,0.008867510009145615,-0.02344131672791,0.0296191269450663,-0.01944799693560576,-0.010352108965971898,-0.007840807736097249,-0.0008511179087335001,0.0046649417346502995,0.006994107997809143,0.015059272649137019
PBIAS_test_all_pct,200,-0.14613571835682584,0.8867510009145655,-2.3441316727910064,2.961912694506639,-1.944799693560584,-1.0352108965971958,-0.78408077360973,-0.08511179087335685,0.46649417346503735,0.6994107997809187,1.5059272649137099
n_train_all,200,685.0,0.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0
n_test_all,200,171.0,0.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0
