Site #,Origin,Dominant_s,N_trees at,A_year,D_live_cm,H_live_m,G_live_m2_,f_Gs_cub_m,f_M_stem_kg_m2,f_M_stem_bark_kg_m2,f_M_crown_kg_m2,f_M_foliage_kg_m2,f_M_AG_kg_m2,Ln_Gs_cub_m,Ln_M_stem_kg_m2,Ln_M_stem_bark_kg_m2,Ln_M_crown_kg_m2,Ln_M_foliage_kg_m2,Ln_M_AG_kg_m2,F_Soil,M_Soil,X_N36,Y_N36,Cs_wood_Bq/kg,Sr_wood_Bq/kg,Ln_Cs_wood,Ln_Sr_wood,Cs_2021_kB,Sr_2021_kB,Tag_Cs,Tag_Sr,Ln_Tag_Cs,Ln_Tag_Sr,AEDR_count,AEDR_mean,Distance_k,Azimuth,r2020B01,r2020B02,r2020B03,r2020B04,r2020B05,r2020B06,r2020B07,r2020B08,r2020B09,r2020B10,r2020B11,r2020B12,r2020B13,r2019B01,r2019B02,r2019B03,r2019B04,r2019B05,r2019B06,r2019B07,r2019B08,r2019B09,r2019B10,r2019B11,r2019B12
049_2021,n,Pine,18,30,14,8.5,27.8,113,4.5,0.66,0.913,0.591,6,4.73,1.5,-0.42,-0.09,-0.53,1.79,B,2,280692,5695403,34,243,3.5,5.5,452,119,0.1,2,-2.6,0.7,10,0.52,17.5,264,0.0213198746,0.0355880525,0.0255158769,0.2251765079,0.1083620866,0.0565361904,0.7966412676,-0.730332625,0.6008040115,-14.807531802,-11.260128112,0.7619125314,0.0113501085,0.0224149546,0.0367938305,0.0256914281,0.2415246349,0.1107284604,0.0581749147,0.8077616884,-0.7356598622,0.6121541084,-14.693717019,-11.802065723,0.8055227925
050_2021,n,Pine,32,65,33.2,21,50.2,381,14.38,1.25,2.232,0.738,17.35,5.94,2.67,0.22,0.8,-0.3,2.85,B,2,280616,5695417,39,682,3.7,6.5,451,120,0.1,5.7,-2.4,1.7,42,0.66,17.6,265,0.0167952084,0.0268301525,0.0195678622,0.1689294717,0.0954254067,0.044470671,0.792424465,-0.7015676076,0.5837440455,-14.945385532,-10.528509614,0.7043807826,0.020916275,0.0166343537,0.0293707656,0.0198426696,0.1888967145,0.095933709,0.0462251275,0.8092458443,-0.7298812995,0.6046603322,-12.947149373,-8.4463905289,0.6584289656
051_2021,n,Pine,24,20,22.1,13.7,36.9,235,9.12,1.38,1.264,0.917,11.3,5.46,2.21,0.32,0.23,-0.09,2.42,B,2,280637,5695570,11,694,2.4,6.5,588,145,0,4.8,-4,1.6,31,0.55,17.6,265,0.0202853498,0.0323995916,0.0220449905,0.2053379721,0.099391747,0.0554675413,0.8072452994,-0.6886417842,0.5849558746,-16.179654826,-11.978332776,0.7407955396,-0.0068612532,0.0183313861,0.0321559843,0.0206442669,0.2051457368,0.0997551488,0.0549180796,0.8181704761,-0.729252667,0.5780946373,-15.197733632,-11.257241417,0.7410927203
052_2021,n,Aspen,46,20,7.8,10.1,26.9,146,6.29,1.11,1.119,0.353,7.76,4.98,1.84,0.1,0.11,-1.04,2.05,C,3,280642,5697198,198,6900,5.3,8.8,2177,292,0.1,23.6,-2.4,3.2,18,2.05,17.5,270,0.0226787379,0.0399974684,0.0281885421,0.2327420377,0.1397147175,0.0696332523,0.7803594896,-0.7106883246,0.5795027754,-17.166502284,-11.246544779,0.6550839621,-0.0619250355,0.0205170685,0.0403491489,0.0270066119,0.2412364193,0.1438430204,0.075339884,0.7949065293,-0.7140734465,0.5175777375,-18.042361977,-12.149105411,0.6732653456
053_2021,n,Birch,76,35,13,15.1,19.6,153,7.5,1.09,1.602,0.174,9.28,5.03,2.01,0.09,0.47,-1.75,2.23,B,2,279146,5698254,43,524,3.8,6.3,453,51,0.1,10.3,-2.4,2.3,19,0.4,19,273,0.0204380311,0.0348344675,0.0281947325,0.2326900848,0.1508284051,0.0709010057,0.7838074691,-0.7333745877,0.5111861815,-17.494010214,-9.4254728852,0.5391136015,0.0821315409,0.017175686,0.0328269715,0.0228696484,0.2510005534,0.1453021787,0.0640058033,0.832945687,-0.7686547157,0.5933177113,-16.682129592,-9.3583613022,0.5617489731
054_2021,n,Birch,45,35,9.4,14.2,12.1,83,4.2,0.5,0.379,0.136,4.71,4.42,1.44,-0.69,-0.97,-2,1.55,B,2,278942,5698137,48,765,3.9,6.6,505,59,0.1,13,-2.4,2.6,31,0.43,19.2,273,0.0182584979,0.0348359094,0.0253312565,0.2475081118,0.1463308842,0.0656940085,0.8136769044,-0.7586893077,0.5850145316,-15.688465021,-9.073951463,0.5783448983,0.0459554333,0.0141938919,0.030190969,0.0196800559,0.2580638753,0.1371051869,0.0581929164,0.8580182381,-0.7903246482,0.6309699735,-15.087634096,-7.9487066455,0.5267462915
055_2021,n,Birch,38,45,12.9,15.6,18.2,142,6.9,1.09,1.55,0.217,8.67,4.96,1.93,0.09,0.44,-1.53,2.16,B,2,278482,5697984,120,969,4.8,6.9,544,69,0.2,14,-1.5,2.6,21,0.52,19.7,273,0.0225846247,0.0379208623,0.0314854911,0.2252850562,0.1528408445,0.0734664817,0.7548760365,-0.7142065086,0.5151362064,-17.168386374,-11.202295287,0.6539961574,0.053581131,0.0186093492,0.0386933963,0.0281904133,0.2496486816,0.1526325578,0.0686422745,0.7971285744,-0.7316333033,0.5687173434,-15.984506937,-10.985898406,0.6899245965
056_2021,a,Pine,33,98,21.9,21.6,45.3,466,17.29,1.15,1.875,0.72,19.88,6.14,2.85,0.14,0.63,-0.33,2.99,B,2,279168,5693009,752,1380,6.6,7.2,337,93,2.2,14.8,0.8,2.7,19,0.39,19.4,258,0.0197380195,0.0354042428,0.0262573024,0.18451844,0.1072941236,0.0517320626,0.751125481,-0.679995277,0.5645315538,-14.721180314,-12.372331301,0.8430371615,-0.0089064757,0.0183579329,0.033022052,0.0247844923,0.1728338954,0.101687385,0.0493546359,0.7490021905,-0.6789360118,0.555625087,-14.462358683,-11.5432115,0.7982733485
057_2021,n,Alder,31,75,29,26.6,36.9,446,20.77,3.33,1.665,0.319,22.75,6.1,3.03,1.2,0.51,-1.14,3.12,C,4,277051,5692159,420,60,6,4.1,231,49,1.8,1.2,0.6,0.2,39,0.35,21.7,257,0.0181791496,0.0311217475,0.0198038811,0.3207222682,0.1402581965,0.0594896127,0.8837049755,-0.8234034995,0.6996273756,-14.980905268,-10.769501695,0.7188019769,0.0212198196,0.0151538288,0.0301990253,0.0162088075,0.325544051,0.1294996655,0.0526961471,0.9048775202,-0.8300459253,0.7208471917,-14.715752226,-9.5478502276,0.6486791675
058_2021,a,Pine,44,30,18.1,14.1,41.1,258,10.6,1.61,1.553,0.953,13.1,5.55,2.36,0.48,0.44,-0.05,2.57,B,3,265771,5688694,184,219,5.2,5.4,3929,182,0,1.2,-3.1,0.2,22,3.9,33.4,255,0.0219365888,0.0340069661,0.0219870451,0.1970385206,0.0842472493,0.0439093238,0.799176024,-0.6942285035,0.6487361614,-16.50241655,-12.317083322,0.7464094117,0.065809943,0.0202713115,0.0345874502,0.0229077521,0.2200863142,0.0845218878,0.0364686481,0.8116248971,-0.7280921544,0.7145461194,-15.899457614,-11.396327137,0.7168496444
059_2021,a,Pine,33,80,29.8,27.2,43.2,586,21.33,1.6,2.091,0.732,24.15,6.37,3.06,0.47,0.74,-0.31,3.18,B,2,265839,5688219,790,917,6.7,6.8,5275,231,0.1,4,-1.9,1.4,18,9.42,33.5,255,0.0198741649,0.0320893702,0.0224257762,0.1633877795,0.09561823,0.0438554252,0.7579922634,-0.6811921409,0.5575628978,-14.542890305,-9.9559634953,0.6856835741,0.0126577492,0.0149897226,0.0302001332,0.0190542474,0.1760650606,0.1013063191,0.0483193121,0.8047577745,-0.7065282945,0.5702206414,-13.599349149,-9.051247175,0.6641879373
060_2021,n,Oak,54,40,13.5,22.1,30.4,308,14.62,2.17,1.044,0.16,15.83,5.73,2.68,0.77,0.04,-1.83,2.76,C,3,265938,5688135,124,4584,4.8,8.4,5190,226,0,20.3,-3.7,3,21,10.25,33.4,254,0.0223733097,0.0359695393,0.0233046941,0.2732312399,0.1402535872,0.0620595333,0.8424588825,-0.7744929915,0.6389685631,-17.348915432,-9.3970765459,0.541900555,0.0411874623,0.0164108803,0.0324767948,0.0211225963,0.2840581667,0.1302368292,0.0540067779,0.8614003802,-0.7944423241,0.6801560324,-15.860610204,-8.4408907398,0.531956602
061_2021,a,Pine,37,56,20.7,20.7,44.5,452,19.11,1.09,1.548,0.523,21.19,6.11,2.95,0.09,0.44,-0.65,3.05,B,2,300167,5676246,145,274,5,5.6,117,29,1.2,9.4,0.2,2.2,9,0.25,21,174,0.0226585676,0.0312454767,0.0241430426,0.1488467084,0.0906827492,0.0474659713,0.7208579146,-0.6714601323,0.6079032834,-15.564293579,-11.488550467,0.7402250905,-0.0292676444,0.0228193584,0.0373930186,0.0276093958,0.1908902023,0.1012011898,0.050747921,0.7466737425,-0.6718643141,0.5786356488,-14.175977641,-11.564838604,0.8188944254
062_2021,n,Pine,37,35,16.8,14.1,31.6,217,8.94,1.32,1.164,0.639,10.74,5.38,2.19,0.28,0.15,-0.45,2.37,B,3,300334,5676351,31,75,3.4,4.3,115,29,0.3,2.6,-1.3,1,26,0.12,20.9,174,0.0261646597,0.0367797985,0.0251024576,0.1915531648,0.09267453,0.0446637082,0.7682268892,-0.6838074712,0.6350249625,-15.430117799,-10.288369498,0.6671060468,-0.0548437691,0.0236568366,0.0373365137,0.0271926909,0.1940666853,0.1049190485,0.0515118445,0.7542724797,-0.6776961918,0.5801811822,-14.469727563,-10.152839418,0.7021740738
063_2021,a,Pine,52,56,18.1,19.9,46.5,367,12.59,0.83,1.738,0.667,14.99,5.91,2.53,-0.19,0.55,-0.4,2.71,B,2,300328,5676203,140,201,4.9,5.3,111,27,1.3,7.4,0.2,2,21,0.25,21,174,0.0217516522,0.0330151936,0.021498745,0.2040222983,0.0899417375,0.0398379573,0.8091231792,-0.6903920455,0.6448829812,-14.647271153,-9.9889708357,0.6826384686,-0.0555844385,0.0233106814,0.0377989811,0.0275675052,0.1980337747,0.1043127095,0.0511819693,0.7556006464,-0.6794605095,0.5892985419,-14.165134145,-8.7620334678,0.6191909533
064_2021,a,Pine,60,55,9.9,9,17.8,90,3.64,1.03,1.075,0.761,5.48,4.5,1.29,0.03,0.07,-0.27,1.7,A,1,300368,5676151,148,1290,5,7.2,110,26,1.3,49.6,0.3,3.9,26,0.21,21.1,174,0.0362015069,0.051491552,0.0454543115,0.2041511299,0.1270827079,0.0758602356,0.6412236441,-0.5924340134,0.4456291863,-16.175846745,-10.720119419,0.6652493982,-0.0611148727,0.0309665918,0.0474375012,0.0387455941,0.1929686329,0.1424958575,0.085663395,0.6646658736,-0.6049443568,0.384514321,-15.419052198,-9.3082775814,0.6057925857
065_2021,a,Pine,40,56,18.7,17.8,41.8,369,16.51,1.11,1.834,0.7,19.05,5.91,2.8,0.1,0.61,-0.36,2.95,A,2,300325,5676125,185,746,5.2,6.6,111,26,1.7,28.7,0.5,3.4,23,0.23,21.1,174,0.024569446,0.0399338587,0.0264335803,0.2065665139,0.1044085164,0.0522618427,0.7733242944,-0.6596155863,0.5267569895,-13.717681131,-10.6057575,0.7735404285,-0.0667525016,0.0249770007,0.0418823584,0.0331780705,0.1940342464,0.1266510602,0.0718113215,0.7076506497,-0.6450661123,0.4600044891,-12.593525353,-8.9178512948,0.7087566033
066_2021,a,Pine,34,56,12.4,13.4,33.6,217,9.04,1.43,1.295,0.688,11.02,5.38,2.2,0.36,0.26,-0.37,2.4,A,2,300490,5676230,145,326,5,5.8,104,26,1.4,12.5,0.3,2.5,25,0.18,21,174,0.0239256879,0.035348506,0.0247578325,0.2146225383,0.0981813761,0.0453484263,0.7931132314,-0.7032346016,0.6521216744,-16.159722725,-9.8179911916,0.6081047985,-0.0419687772,0.0233594403,0.0373239482,0.0268831811,0.2016886696,0.1025557402,0.0488266798,0.7649181628,-0.6876609526,0.6101528904,-15.243157838,-9.5147116408,0.6244767235
067_2021,n,Birch,43,40,12.7,16.3,21.3,172,8.6,1.09,1.236,0.242,10.08,5.15,2.15,0.09,0.21,-1.42,2.31,C,2,302522,5676427,30,221,3.4,5.4,70,19,0.4,11.6,-0.8,2.5,27,0.2,21.1,168,0.025467082,0.0413478651,0.0310433771,0.256538335,0.1595811415,0.0735810385,0.7842272367,-0.7004165245,0.5241539203,-15.922254837,-11.248558829,0.707413894,-0.0070036342,0.0299060313,0.0622739697,0.0572258912,0.2744686163,0.180731152,0.0874786431,0.6558651785,-0.6303388941,0.5171502766,-14.896604121,-10.371963257,0.6971314573
068_2021,n,Alder,55,40,16.7,23.1,43.7,447,19.94,2.41,1.145,0.308,21.39,6.1,2.99,0.88,0.14,-1.18,3.06,C,4,303334,5676654,40,109,3.7,4.7,79,20,0.5,5.5,-0.7,1.7,23,0.15,21.1,166,0.022408874,0.0352878054,0.0201833935,0.3000569137,0.1460737217,0.0618641407,0.8735959447,-0.7854052826,0.6265770625,-15.043254601,-9.2097086033,0.6124010901,0.0091321338,0.0154260922,0.0273522043,0.015301268,0.2879219265,0.1464206106,0.0629385352,0.8981772868,-0.8259312101,0.6357092098,-14.586744684,-5.7033081273,0.3868471595
069_2021,a,Pine,59,71,24.1,24.7,47.4,498,18,1.47,2.203,0.835,21.04,6.21,2.89,0.39,0.79,-0.18,3.05,B,2,305402,5677062,212,514,5.4,6.2,134,24,1.6,21.4,0.5,3.1,21,0.23,21.3,160,0.0239500863,0.0349339632,0.0213731026,0.189688029,0.0820360519,0.0395291855,0.7973401793,-0.7040435859,0.6209208139,-15.165604124,-9.0747519081,0.5993685749,-0.0169652117,0.0196661251,0.0331382489,0.0235374256,0.1815626778,0.09259146,0.0448566146,0.7703589541,-0.6913036089,0.6039555968,-13.833092514,-9.1239159833,0.6614603043
070_2020,a,Oak,63,27,9.3,12.2,17,112,5.87,1,1.188,0.149,7.21,4.72,1.77,0,0.17,-1.9,1.98,B,2,309614,5676356,33,100,3.5,4.6,99,19,0.3,5.3,-1.1,1.7,34,0.17,23.7,151,0.0196559542,0.0348263508,0.0201288583,0.2663596946,0.1394277058,0.0607209669,0.8593559484,-0.7832413407,0.6419615474,-15.996646045,-10.830272777,0.6788370391,0.0493006065,0.0171237059,0.0342089331,0.0186006892,0.3376566887,0.1458800146,0.0616213188,0.8955105033,-0.8159903276,0.6912621431,-16.31610931,-10.848455842,0.6662714052
071_2021,a,Birch,36,28,16,17.9,26.5,226,11.53,1.22,1.368,0.369,13.27,5.42,2.44,0.2,0.31,-1,2.59,B,2,309820,5676426,28,315,3.3,5.8,106,22,0.3,14.3,-1.3,2.7,33,0.17,23.7,151,0.0249185901,0.0388997673,0.0325254379,0.2099621625,0.151230369,0.0751817866,0.7317489737,-0.6910618389,0.4819051164,-15.384933802,-12.209357067,0.7945709475,-0.0135455815,0.0264867732,0.0461218485,0.045069948,0.2440483948,0.1747623909,0.0883321685,0.6884397349,-0.682160849,0.4683595352,-15.369729823,-11.143364053,0.7262709223
072_2021,a,Birch,26,28,11.4,17.3,21.3,183,8.12,1.06,1.247,0.262,9.63,5.21,2.09,0.06,0.22,-1.34,2.26,B,2,309893,5676459,14,200,2.6,5.3,111,23,0.1,8.7,-2.1,2.2,25,0.17,23.8,150,0.0245657814,0.040381032,0.0329011963,0.237232708,0.1473635294,0.0695638926,0.7561610462,-0.7023013619,0.5099982231,-14.590901119,-9.5987397306,0.6594473291,-0.0437628163,0.0300335581,0.0530227314,0.0505802315,0.2593583837,0.1825395032,0.0942448847,0.6732091344,-0.6600393715,0.4662354019,-14.387092579,-9.0951915305,0.634636393
073_2021,a,Oak,61,55,19.9,16.9,31,255,13.59,2.86,2.951,0.417,16.95,5.54,2.61,1.05,1.08,-0.87,2.83,C,2,309926,5676503,49,51,3.9,3.9,117,24,0.4,2.1,-0.9,0.8,22,0.2,23.7,150,0.0200210118,0.0306792752,0.020710944,0.1970080925,0.1231489753,0.0640334255,0.8009173284,-0.7485577829,0.4966224587,-16.089989131,-12.873157431,0.7986336558,0.028572852,0.0221758741,0.0402527951,0.024549176,0.2558331257,0.1484607149,0.0786551948,0.8201601879,-0.7238878125,0.5251953208,-16.010222608,-12.388502124,0.7722628111
074_2021,a,Pine,21,27,15.1,12.1,35.8,205,8.23,1.18,1.01,0.523,9.77,5.32,2.11,0.17,0.01,-0.65,2.28,B,2,309996,5676510,30,164,3.4,5.1,125,26,0.2,6.3,-1.4,1.8,25,0.15,23.8,150,0.0225388415,0.0357621016,0.0234916246,0.2198727016,0.0872302714,0.0402338665,0.8069081908,-0.7232397385,0.7105826331,-16.241566776,-10.026338709,0.6173773238,-0.0901569615,0.0226730668,0.0380667153,0.0251922979,0.2130290912,0.0962063106,0.0498167535,0.7884447635,-0.6965348438,0.6204256608,-16.232432732,-9.2444361565,0.5699856408
075_2021,a,Pine,36,70,22.3,22.5,51.4,463,20.23,1.77,1.587,0.636,22.45,6.14,3.01,0.57,0.46,-0.45,3.11,B,2,309902,5676605,110,430,4.7,6.1,121,25,0.9,17.2,-0.1,2.8,20,0.27,23.6,150,0.0235012546,0.0338241107,0.0246447114,0.1605992185,0.0964720284,0.050167119,0.7303137589,-0.675122467,0.5732060859,-13.281957166,-10.009264571,0.7537231355,-0.0593620562,0.0238970664,0.0380100211,0.0282123263,0.1814060144,0.1100180499,0.0582369907,0.731622979,-0.6537849399,0.51384404,-12.365162757,-10.621522896,0.8599730477
076_2021,n,Birch,36,30,15.3,19.8,24.9,229,10.99,1.08,1.206,0.28,12.47,5.43,2.4,0.08,0.19,-1.27,2.52,B,3,265895,5688036,109,966,4.7,6.9,4881,206,0,4.7,-3.8,1.5,24,5.26,33.5,254,0.0222291858,0.0383203052,0.0271182482,0.2577408066,0.1405981238,0.0641539992,0.8091621681,-0.7408046222,0.5739222291,-17.688235775,-10.687588551,0.605206767,0.0758292957,0.0176110251,0.0369656782,0.0246509981,0.2767475003,0.1370280913,0.0586972055,0.8362442433,-0.764121954,0.649751536,-17.09183237,-9.7831128212,0.5737848062
077_2021,a,Pine,42,65,23.9,26.2,71.7,556,23.42,2.03,2.375,0.66,26.46,6.32,3.15,0.71,0.86,-0.42,3.28,B,2,265960,5688015,1260,1730,7.1,7.5,4733,199,0.3,8.7,-1.3,2.2,23,9.69,33.4,254,0.0222300747,0.0366332592,0.0253784038,0.1927279283,0.0992471931,0.0490632074,0.766960379,-0.6722582118,0.5677448655,-16.409520262,-11.163085807,0.6808818165,0.0695543312,0.0184265165,0.0332497818,0.0218763782,0.2030693447,0.09584841,0.0449030382,0.8050470056,-0.7183235863,0.6372992193,-16.226556901,-11.409340688,0.7041683792
078_2021,n,Alder,34,35,18.3,21.4,33.6,373,14.62,1.94,0.921,0.291,15.83,5.92,2.68,0.66,-0.08,-1.23,2.76,C,3,265978,5687862,974,963,6.9,6.9,3890,160,0.3,6,-1.4,1.8,24,7.34,33.5,254,0.0220028717,0.0394898212,0.0228593956,0.3142700812,0.1549458604,0.0680346615,0.8641392262,-0.7658192959,0.6110585114,-15.516373666,-7.6501350631,0.4929748062,0.0637065456,0.0161047041,0.0371332504,0.0206710797,0.3235933915,0.1529422194,0.0627292469,0.8794369323,-0.7939295498,0.674765037,-14.970431536,-7.2516151922,0.4848588773
079_2021,n,Alder,43,35,14.4,21.2,24.9,247,12.32,1.62,0.965,0.285,13.57,5.51,2.51,0.48,-0.04,-1.26,2.61,C,3,265988,5687815,869,546,6.8,6.3,3557,148,0.2,3.7,-1.4,1.3,28,6.04,33.5,254,0.02115074,0.0381656738,0.0228009495,0.3153425508,0.1650040991,0.0696255241,0.865045933,-0.7845045703,0.6461571959,-14.064923734,-10.507778238,0.7480835908,0.0435910194,0.0158049612,0.0354500052,0.0190955808,0.3337175274,0.1506730924,0.061225456,0.8916726622,-0.8079326208,0.6897482262,-13.133374914,-9.820905604,0.7493886448
080_2021,n,Alder,39,65,35.2,27,37.9,482,19.25,3.19,1.258,0.294,20.8,6.18,2.96,1.16,0.23,-1.22,3.03,C,4,265906,5687507,4750,77,8.5,4.3,2310,91,2.1,0.8,0.7,-0.2,36,4.9,33.6,253,0.0239023378,0.0413667188,0.0227740639,0.3588574955,0.1696323552,0.0710269469,0.8806849941,-0.7955275784,0.6670877951,-14.162474242,-9.0993236979,0.6442922333,0.0392483947,0.0179501574,0.0354686588,0.0179966163,0.3681925623,0.1587790216,0.063331799,0.9067150398,-0.8242070731,0.7063361953,-13.662430453,-8.4520995233,0.6206483878
081_2021,n,Aspen,16,30,20,21.4,43.9,427,19.83,2.3,3.85,0.701,24.38,6.06,2.99,0.83,1.35,-0.36,3.19,C,3,265912,5686855,67,206,4.2,5.3,772,29,0.1,7.1,-2.4,2,18,1.14,33.8,252,0.0200864686,0.0390086129,0.0265189059,0.2583330433,0.1536925409,0.0713658959,0.8137540316,-0.7375235586,0.5562426138,-16.999461421,-10.422594098,0.6133126753,0.0751373525,0.0183334028,0.0365085518,0.0215303795,0.2964591539,0.1496206372,0.0666415949,0.8640140799,-0.7809232945,0.6313799764,-16.392738286,-9.0918497477,0.5547285503
082_2021,n,Birch,36,30,16,18.8,27.3,239,11.87,1.07,1.438,0.2,13.51,5.48,2.47,0.07,0.36,-1.61,2.6,B,2,266040,5687181,89,211,4.5,5.4,1209,44,0.1,4.8,-2.6,1.6,18,1.81,33.6,253,0.0165908213,0.0279871227,0.0216069901,0.18556375,0.1427031204,0.0661594876,0.7910410214,-0.7547592791,0.5443656248,-16.583917808,-12.166956884,0.7333587359,0.0351324366,0.0178162571,0.0346604811,0.0267611892,0.2513051021,0.1462613848,0.0664039272,0.8097821344,-0.7588735136,0.5794980666,-15.735586606,-10.493460332,0.6669226623
083_2021,n,Alder,32,65,18.5,21.3,30.2,323,13.56,1.7,0.847,0.24,14.65,5.78,2.61,0.53,-0.17,-1.43,2.68,C,3,266062,5687209,159,76,5.1,4.3,1241,45,0.1,1.7,-2.1,0.5,23,1.54,33.6,253,0.0239567435,0.0406348489,0.0246663187,0.3499942771,0.1782511896,0.079091866,0.8675312282,-0.797962364,0.6470933179,-15.826050809,-9.9177627678,0.6274544947,0.0416584001,0.0157442903,0.0341211716,0.018376258,0.3625756572,0.1662805321,0.0667747317,0.9035158684,-0.8279866349,0.6887517054,-15.185687506,-9.0292917447,0.5952788803
084_2021,n,Aspen,35,30,13.1,19,51.1,440,26.05,2.41,3.193,0.378,29.62,6.09,3.26,0.88,1.16,-0.97,3.39,B,2,269622,5687268,15,175,2.7,5.2,60,4,0.3,43.8,-1.4,3.8,15,0.18,30.2,251,0.0185324964,0.0279566342,0.0199349803,0.1549689247,0.134983225,0.0676285917,0.766984276,-0.6860320139,0.4280908932,-17.58406328,-12.675435244,0.7237963283,-0.1131493954,0.0189540452,0.0329197742,0.0297491452,0.1655024069,0.1631553009,0.0858984701,0.6919173173,-0.6640853534,0.314941498,-17.675370641,-12.530201377,0.7121864464
085_2021,n,Aspen,30,15,6.9,9.1,22.5,121,4.64,0.83,0.816,0.591,6.05,4.8,1.53,-0.19,-0.2,-0.53,1.8,B,2,269670,5687278,27,101,3.3,4.6,62,4,0.4,25.3,-0.8,3.2,12,0.16,30.1,251,0.0203075528,0.0279164748,0.0284091301,0.1275282431,0.1678396221,0.0896576801,0.6411522747,-0.6420261231,0.225917121,-17.415724689,-13.217625171,0.7675998874,-0.0379683011,0.0220115292,0.0337614184,0.0356447643,0.1542271589,0.1870462622,0.1035493597,0.6345273118,-0.6434843224,0.1879488258,-18.360310978,-13.183606505,0.7198935488
086_2021,a,Pine,26,70,29.6,25.1,60.4,505,19.12,1.45,2.083,0.594,21.8,6.22,2.95,0.37,0.73,-0.52,3.08,B,2,271088,5687129,31,138,3.4,4.9,75,5,0.4,27.6,-0.9,3.3,23,0.16,28.8,250,0.0238828034,0.0365822835,0.0279943409,0.1926300633,0.1053254199,0.0522698968,0.7448312249,-0.6692551702,0.5276132907,-15.609374139,-9.8904611914,0.6356718193,-0.0561880899,0.0188818582,0.0310512036,0.0245583626,0.172656036,0.1126877769,0.0616083778,0.7510018816,-0.6959828816,0.4714251929,-15.313842707,-9.5101657086,0.6229140487
087_2021,n,Pine,47,30,15.3,17.7,30.9,246,10.99,0.88,1.151,0.529,12.67,5.51,2.4,-0.13,0.14,-0.64,2.54,A,2,271158,5687133,19,167,2.9,5.1,76,5,0.3,33.4,-1.4,3.5,22,0.13,28.8,250,0.02417815,0.0393902149,0.0285429587,0.2042229827,0.1028060603,0.0530279693,0.7540531728,-0.683087241,0.5895245486,-15.705717113,-11.089918296,0.7067625593,-0.1075445915,0.0221686533,0.0358361117,0.028509654,0.1825163909,0.1090260211,0.0629562416,0.7269115174,-0.6690102596,0.4819799643,-15.506804491,-10.708391485,0.6913107129
088_2021,n,Pine,29,20,9.8,10.2,38.9,159,7.06,1.05,1.534,0.713,9.31,5.07,1.95,0.05,0.43,-0.34,2.23,A,2,275246,5687120,5,106,1.6,4.7,51,3,0.1,35.3,-2.3,3.6,25,0.16,25,246,0.0207925574,0.0334714832,0.0244876859,0.1899888906,0.1018936112,0.0533434459,0.7700656703,-0.7000866767,0.544483214,-16.559910547,-10.328419026,0.625841832,-0.0847976639,0.0220940818,0.0400336023,0.0304825207,0.193131124,0.1211165447,0.0711595714,0.7271446878,-0.6569020617,0.4596855347,-16.888657423,-9.8393990877,0.5841422284
089_2021,a,Pine,46,20,8.7,6,11,38,1.81,0.38,0.513,0.205,2.53,3.64,0.59,-0.97,-0.67,-1.58,0.93,A,2,275268,5687032,17,170,2.8,5.1,48,3,0.4,56.7,-1,4,17,0.16,25,246,0.0270105693,0.0401382498,0.0402769892,0.193846293,0.1665162107,0.0992722828,0.6570165835,-0.6695827243,0.3389876005,-17.584623669,-11.920070181,0.6791253745,-0.0557599269,0.0268504427,0.0415025167,0.0412359543,0.2091694539,0.1864327814,0.1166645508,0.6697041882,-0.6679455355,0.283227672,-18.27251125,-11.388326885,0.6246203679
090_2021,a,Pine,30,57,20.3,19.6,39,356,15.57,1.07,1.436,0.757,17.76,5.87,2.75,0.07,0.36,-0.28,2.88,A,2,279031,5686895,140,120,4.9,4.8,58,2,2.4,60,0.9,4.1,19,0.19,21.7,242,0.0204811492,0.0351031198,0.0276941387,0.1707201412,0.1077125544,0.0544686859,0.7195893286,-0.6627919809,0.5519141073,-14.668369728,-12.587518336,0.8608627942,-0.0196705755,0.018258452,0.0334738167,0.0272368826,0.1744996945,0.1037997462,0.0531788285,0.729342781,-0.677830838,0.5322435161,-14.481092597,-10.921508527,0.7569406229
091_2021,a,Pine,67,58,17.5,20.8,50.1,417,17.04,1.03,1.77,0.671,19.48,6.03,2.84,0.03,0.57,-0.4,2.97,B,2,278982,5686810,29,147,3.4,5,60,2,0.5,73.5,-0.7,4.3,14,0.18,21.7,242,0.0201897518,0.0332071836,0.0249482586,0.1718926682,0.0942237766,0.0458044671,0.7461725294,-0.6803211394,0.5758473672,-14.693570341,-11.878030165,0.8082476717,-0.0623597759,0.0172518053,0.0301176867,0.0227537315,0.1652547001,0.1007046375,0.0534059922,0.75806811,-0.6919558125,0.5134875834,-14.760402901,-11.09820551,0.7518148561
092_2021,a,Birch,41,57,28.2,27,25.6,295,15.33,2.25,1.512,0.16,17.01,5.69,2.73,0.81,0.41,-1.83,2.83,B,2,251307,5676675,13,30,2.6,3.4,677,12,0,2.5,-4,0.9,34,0.2,51.1,246,0.0230841499,0.0350135445,0.0303441346,0.2322697135,0.1322858158,0.0654715587,0.7691834331,-0.7379053967,0.5507025346,-15.635055806,-9.0760368117,0.5814057795,0.0073979273,0.0198644961,0.0371184559,0.027989244,0.2311765166,0.1350416138,0.0654723161,0.7840459324,-0.723138908,0.5581004584,-16.033541893,-8.3039363301,0.5179470393
