Site #,Origin,Dominant_s,N_trees at,A_year,D_live_cm,H_live_m,G_live_m2_,f_Gs_cub_m,f_M_stem_kg_m2,f_M_stem_bark_kg_m2,f_M_crown_kg_m2,f_M_foliage_kg_m2,f_M_AG_kg_m2,Ln_Gs_cub_m,Ln_M_stem_kg_m2,Ln_M_stem_bark_kg_m2,Ln_M_crown_kg_m2,Ln_M_foliage_kg_m2,Ln_M_AG_kg_m2,F_Soil,M_Soil,X_N36,Y_N36,Cs_wood_Bq/kg,Sr_wood_Bq/kg,Ln_Cs_wood,Ln_Sr_wood,Cs_2021_kB,Sr_2021_kB,Tag_Cs,Tag_Sr,Ln_Tag_Cs,Ln_Tag_Sr,AEDR_count,AEDR_mean,Distance_k,Azimuth,r2020B01,r2020B02,r2020B03,r2020B04,r2020B05,r2020B06,r2020B07,r2020B08,r2020B09,r2020B10,r2020B11,r2020B12,r2020B13,r2019B01,r2019B02,r2019B03,r2019B04,r2019B05,r2019B06,r2019B07,r2019B08,r2019B09,r2019B10,r2019B11,r2019B12
019_2021,n,Pine,53,20,5.1,5.4,11,42,1.87,0.49,0.38,0.398,2.65,3.74,0.63,-0.71,-0.97,-0.92,0.97,B,2,293498,5698098,2630,4000,7.9,8.3,906,379,2.9,10.6,1.1,2.4,25,0.99,4.7,282,0.025726891,0.036588614,0.0280314326,0.2026340665,0.1062600306,0.0533648613,0.7578250879,-0.6884607195,0.5942585158,-15.319966823,-10.325989301,0.6757118149,-0.0734676658,0.0264771861,0.0378426912,0.0276719252,0.1995109001,0.1135211523,0.0629156691,0.7560433594,-0.680952598,0.5207908493,-15.732027467,-10.464704624,0.6666815004
020_2021,n,Alder,49,35,16,15.8,32.9,280,12.32,1.85,0.968,0.387,13.67,5.63,2.51,0.62,-0.03,-0.95,2.62,B,3,293120,5698413,344,1880,5.8,7.5,838,324,0.4,5.8,-0.9,1.8,30,0.87,5.2,285,0.0234094205,0.0385680038,0.0238957563,0.2359027836,0.1531460464,0.0742006211,0.8167253402,-0.7509560185,0.5443294546,-16.490538824,-11.281457748,0.6841520066,-0.040202842,0.0202543501,0.0350055968,0.0210536524,0.2323893091,0.1532315173,0.0763035,0.8343230024,-0.7384237885,0.5041266157,-17.147101661,-11.364958219,0.6629756549
021_2021,n,Pine,109,20,5.1,8.8,43.6,150,5.68,1.13,1.095,0.963,7.74,5.01,1.74,0.12,0.09,-0.04,2.05,B,2,292516,5698975,3500,7320,8.2,8.9,1056,379,3.3,19.3,1.2,3,25,1.21,5.9,288,0.0244138261,0.039171722,0.0281042778,0.2123021061,0.1236183718,0.065937497,0.7669803847,-0.6822588079,0.5182534083,-15.259912593,-11.408296342,0.7479922233,0.0064068992,0.0240060937,0.0381002226,0.0265268908,0.1959165117,0.1192703641,0.0610188378,0.7614254905,-0.6744558285,0.5246603057,-15.14903104,-10.90460571,0.7198995972
022_2021,a,Pine,54,85,22.3,22.3,41.5,448,18.57,1.34,1.429,0.768,20.77,6.1,2.92,0.29,0.36,-0.26,3.03,A,2,292396,5699037,1720,5600,7.5,8.6,962,353,1.8,15.9,0.6,2.8,16,1.37,6.1,289,0.0181912639,0.0294818096,0.019872402,0.1533563331,0.0827860753,0.0401859724,0.7709057785,-0.6699274116,0.5995254909,-17.42712304,-12.110580386,0.6951310135,-0.0501096487,0.0190974617,0.0327794364,0.0219789789,0.159612044,0.0944274903,0.04624736,0.7585476517,-0.6594594703,0.5494158306,-16.670908662,-12.144648627,0.7287530522
023_2021,n,Pine,26,25,14.1,8.7,34.4,144,6.08,1.06,0.988,0.837,7.9,4.97,1.81,0.06,-0.01,-0.18,2.07,B,2,292198,5699313,329,1580,5.8,7.4,837,302,0.4,5.2,-0.9,1.7,23,0.76,6.3,290,0.0222803001,0.0341523253,0.022897545,0.2047114828,0.0987436674,0.0462052848,0.7988695957,-0.7116657645,0.6005246453,-15.272755611,-11.790215079,0.7723235357,-0.0471895515,0.0218129167,0.0361507818,0.0237613046,0.1991914362,0.1073291664,0.0571967082,0.7868280834,-0.6925410362,0.5533351164,-14.671330775,-11.397962602,0.7771964936
024_2021,n,Pine,21,20,10.4,5.6,7.2,29,1.3,0.44,0.503,0.172,1.98,3.37,0.26,-0.82,-0.69,-1.76,0.68,B,2,292017,5699457,60,1030,4.1,6.9,690,254,0.1,4.1,-2.4,1.4,12,0.65,6.6,291,0.0252475758,0.0375897261,0.0284173738,0.2097869524,0.1154460809,0.0647160891,0.7614889541,-0.7179893266,0.6032871494,-17.081527933,-13.648119016,0.7998619025,-0.0755638814,0.0241613196,0.04051618,0.0302066317,0.2241019655,0.1250819671,0.0692857229,0.7622579229,-0.6937790875,0.5277232842,-17.56374393,-13.8419881,0.7886705573
025_2021,n,Pine,32,90,34.7,27.3,56.7,582,19.93,1.97,1.89,0.707,22.53,6.37,2.99,0.68,0.64,-0.35,3.11,B,2,291817,5699972,287,1990,5.7,7.6,475,180,0.6,11.1,-0.5,2.4,24,0.71,6.9,294,0.020668456,0.032438683,0.0247277887,0.1794594261,0.1061519211,0.0551128283,0.7535980705,-0.7079413576,0.5595662415,-14.79448454,-11.459816235,0.7754744326,0.021943503,0.0198947073,0.0332866131,0.0227059667,0.19132742,0.0972061006,0.0503058593,0.7867501031,-0.7028039773,0.5815097321,-14.61543435,-11.417386634,0.7819773053
026_2021,n,Birch,21,45,22.5,23.7,31.8,346,15.48,2.11,1.6,0.16,17.24,5.85,2.74,0.75,0.47,-1.83,2.85,C,3,291673,5700237,61,1820,4.1,7.5,450,171,0.1,10.6,-2,2.4,15,0.59,7.2,296,0.0126483475,0.0248379485,0.0150141535,0.2462076936,0.1208601591,0.0524705769,0.8844813607,-0.8062420944,0.6623991984,-16.030168684,-12.445742191,0.7764692763,0.0429742549,0.0172871959,0.0310551164,0.0183795434,0.2962547124,0.1204694993,0.0510185296,0.8828235168,-0.810062286,0.7053734492,-15.463179547,-11.268114487,0.7287405789
027_2021,a,Pine,29,39,26.8,21.7,51.8,464,16.6,1.3,2.58,0.702,19.88,6.14,2.81,0.26,0.95,-0.35,2.99,A,2,291749,5700908,555,2690,6.3,7.9,472,192,1.2,14,0.2,2.6,20,0.53,7.4,301,0.0176952443,0.0308567179,0.020192872,0.1974273538,0.0833823826,0.0421508685,0.8141456336,-0.7245004863,0.632595893,-16.04935503,-11.017749667,0.6865405159,-0.0279916619,0.0196111431,0.0328903247,0.0220980992,0.1809372154,0.0912859888,0.0445670873,0.7823170173,-0.6927597176,0.6046042215,-15.423193246,-9.8454027588,0.6383998795
028_2021,n,Aspen,53,25,12.5,18.1,21,194,9.79,1.56,1.523,0.297,11.61,5.27,2.28,0.44,0.42,-1.21,2.45,B,3,291919,5701541,67,2620,4.2,7.9,428,175,0.2,15,-1.9,2.7,26,0.58,7.6,306,0.0190414632,0.0345527276,0.0218039002,0.2815259691,0.1352567296,0.0629520188,0.8560193884,-0.7666815245,0.6262378727,-16.395456117,-9.9493091141,0.6074580375,-0.0079906373,0.0212204381,0.0396022966,0.0249796909,0.2846491243,0.1428243415,0.0670237023,0.8386676696,-0.7557497686,0.6182472316,-14.981417522,-10.283174181,0.6876282155
