iter,R2_train_all,R2_train_all_pct,RMSE_train_all,rRMSE_train_all,Bias_train_all,rBias_train_all,PBIAS_train_all_pct,R2_test_all,R2_test_all_pct,RMSE_test_all,rRMSE_test_all,Bias_test_all,rBias_test_all,PBIAS_test_all_pct,n_train_all,n_test_all
1,0.976340699350509,97.6340699350509,21.987859743268313,0.09715786274108579,-0.6678339690718877,-0.002950961205798393,-0.2950961205798393,0.9760095028003807,97.60095028003806,23.08221160082534,0.09659152649415205,1.9545241230203987,0.008179045919734729,0.8179045919734729,685,171
2,0.9760124343616926,97.60124343616926,22.213037129409468,0.09788928754366942,-0.6210876833519999,-0.002737033683024854,-0.2737033683024854,0.9770187775040444,97.70187775040444,22.342090180318216,0.09445921527059327,-3.678121388617215,-0.015550579969676698,-1.5550579969676699,685,171
3,0.9770257090623204,97.70257090623204,21.311358271814296,0.09493828555202576,-0.5467374813728854,-0.0024356175925785055,-0.24356175925785056,0.972948182953025,97.2948182953025,25.808060885079254,0.10477581804807556,-3.396288030882622,-0.013788283371895868,-1.378828337189587,685,171
4,0.9755251279797692,97.55251279797692,22.538302756062656,0.09789997145134577,-0.7196563095530532,-0.0031259821523638466,-0.3125982152363846,0.9794630555025158,97.94630555025158,20.774428312794136,0.09302689236647448,0.7663789767915236,0.0034318082554409875,0.34318082554409873,685,171
5,0.9762158073212334,97.62158073212333,22.120356094277,0.09773273360212323,-0.5896540023028807,-0.002605224675356962,-0.26052246753569624,0.9768873644885351,97.6887364488535,22.372632451628746,0.09366067553305575,1.7385633754838243,0.007278312936884194,0.7278312936884195,685,171
6,0.9767435300188722,97.67435300188721,21.464141219392854,0.09527218254964896,-0.6965207859361712,-0.003091624062153507,-0.3091624062153507,0.9711509644935254,97.11509644935255,26.63247049068754,0.10957860218349999,-2.969257694792382,-0.01221693300408313,-1.221693300408313,685,171
7,0.9761425883495736,97.61425883495735,21.96347885483129,0.09599214334561824,-0.5903658189331755,-0.0025802142134200624,-0.25802142134200623,0.9769415234939278,97.69415234939278,23.127209079826578,0.10100301246974433,-2.6423526982714596,-0.011539895783005395,-1.1539895783005394,685,171
8,0.9741265855482963,97.41265855482963,23.008874126409957,0.09894115586616753,-0.6458207342378318,-0.0027771132814571153,-0.2777113281457115,0.9840403964108174,98.40403964108174,18.71756152416713,0.08747791041038844,-0.090663313607895,-0.0004237217126312234,-0.042372171263122343,685,171
9,0.9762214182391586,97.62214182391587,22.14212005477721,0.09882170050900033,-0.5620243749288218,-0.002508350795704011,-0.2508350795704011,0.972953606655452,97.2953606655452,23.91297393368533,0.0964319228439681,1.0958436620982175,0.004419120422476905,0.44191204224769065,685,171
10,0.9765186218524693,97.65186218524693,22.19344080064713,0.0970336035046542,-0.6733084427612335,-0.0029438222336990957,-0.29438222336990955,0.9751933907441318,97.51933907441318,22.366527755619572,0.09753443311022059,-1.0033523868788454,-0.004375350851650512,-0.4375350851650513,685,171
11,0.9752915939287155,97.52915939287155,22.507733810392956,0.09879087341889069,-0.617206808182437,-0.002709042152980933,-0.27090421529809333,0.979085981425121,97.9085981425121,21.470362884478693,0.09219792606063747,1.4831080210630487,0.006368755125455319,0.6368755125455319,685,171
12,0.9763001277278824,97.63001277278825,22.42238661002505,0.0970747066957092,-0.6621460542136676,-0.0028666722735827955,-0.2866672273582795,0.9762160684200099,97.62160684200099,21.326468695216576,0.0968242198702763,-0.06537519451324426,-0.00029680967337232956,-0.029680967337232956,685,171
13,0.9772740401131128,97.72740401131128,22.1689585118887,0.09610258575652045,-0.6498427889369164,-0.0028170729048265885,-0.28170729048265886,0.9716272098689321,97.16272098689322,22.280985733211537,0.1006078261957041,-0.18260238549397853,-0.0008245249686289871,-0.08245249686289871,685,171
14,0.9768477334999193,97.68477334999193,21.931647616651308,0.09568763398629286,-0.6145785750884419,-0.002681402272040491,-0.2681402272040491,0.9739341885658055,97.39341885658055,23.378567491782523,0.10281209037917521,0.6444300212726537,0.002834014428532729,0.2834014428532729,685,171
15,0.9773137985475757,97.73137985475758,21.816645798563947,0.09570211707066362,-0.582168501963956,-0.0025537728688557033,-0.2553772868855703,0.9699078728686626,96.99078728686627,24.614696820497166,0.10594081056271246,2.806748555456234,0.012080149480579705,1.2080149480579703,685,171
16,0.9771223296977843,97.71223296977844,22.525438862394928,0.09669284814600455,-0.7074781721734269,-0.0030369254906186015,-0.30369254906186016,0.9706730641323372,97.06730641323372,20.980497806609307,0.09880789118357983,-1.4872619258560222,-0.007004276823458869,-0.7004276823458869,685,171
17,0.9770107409979123,97.70107409979123,22.180736472105025,0.09714932366340878,-0.6444465847840309,-0.0028226091558185566,-0.2822609155818556,0.9731050632777684,97.31050632777684,22.28230644852742,0.09648755888098164,1.541624711527319,0.00667559282830431,0.667559282830431,685,171
18,0.9766561937111059,97.6656193711106,22.01565282225528,0.09555429088707182,-0.5884691782069015,-0.0025541261704315928,-0.2554126170431593,0.9748569205535742,97.48569205535742,22.96275197716907,0.10316243735572218,-2.055223198099693,-0.009233293754894503,-0.9233293754894503,685,171
19,0.976057197742267,97.6057197742267,22.30786760725577,0.09767747796452879,-0.567322007978563,-0.002484082472996854,-0.2484082472996854,0.9767619259208994,97.67619259208993,22.053855822021116,0.09560944393342471,-2.481683075475696,-0.010758768932746104,-1.0758768932746103,685,171
20,0.976989034169954,97.69890341699539,22.017122933825366,0.09539849422816966,-0.6351290701892381,-0.0027519652371793125,-0.2751965237179312,0.9715658097838465,97.15658097838465,23.685324676894922,0.10716405700724796,2.331627553099459,0.010549429717708952,1.0549429717708951,685,171
21,0.9772528862889788,97.72528862889787,21.885407898275695,0.09489693360045406,-0.6452539926170435,-0.0027978745279694716,-0.27978745279694717,0.9718849640188905,97.18849640188904,23.583095645979768,0.10637727628859626,-3.124253865803352,-0.01409270528633649,-1.409270528633649,685,171
22,0.9775456862563394,97.75456862563394,21.624542483652878,0.09547985539128173,-0.5800018496392196,-0.00256090933586651,-0.256090933586651,0.9712395038700186,97.12395038700186,24.37554835208605,0.10229887394207249,0.6196990853372785,0.0026007422560202875,0.26007422560202875,685,171
23,0.9759926620858904,97.59926620858904,22.35738284046149,0.0980101873366308,-0.7382327503360624,-0.0032362611793509983,-0.3236261179350999,0.9767034523715074,97.67034523715074,22.00146161409912,0.09493702666515977,-0.6968320183507534,-0.0030068529567557727,-0.3006852956755773,685,171
24,0.9771123275195809,97.7112327519581,22.07061697837142,0.09544638063457477,-0.7322325115488763,-0.003166605767242207,-0.31666057672422065,0.9723883064620523,97.23883064620523,22.797958570600596,0.10398725291407246,0.961087227841027,0.004383761832204996,0.4383761832204996,685,171
25,0.9757767322260555,97.57767322260555,22.238089918907875,0.09733747904571054,-0.5891964135616701,-0.002578948721225577,-0.2578948721225577,0.9783080409421061,97.8308040942106,22.047748433710996,0.095717404373474,-1.9935331918447545,-0.008654662548851898,-0.8654662548851898,685,171
26,0.977621366728108,97.7621366728108,22.063716194186103,0.09536849101737914,-0.635182453539561,-0.002745520817148049,-0.27455208171480494,0.9681480294692835,96.81480294692835,23.219924652689613,0.10613787033940007,6.479816240363974,0.029619126945066392,2.961912694506639,685,171
27,0.9759826933486596,97.59826933486596,22.512845430030094,0.09683783364994888,-0.6514921017636844,-0.00280235938948402,-0.280235938948402,0.9775316743010104,97.75316743010104,20.874795810974096,0.09742995793044204,-0.19109965285923336,-0.0008919287789540473,-0.08919287789540473,685,171
28,0.9768982818456737,97.68982818456738,22.228168200734228,0.09626580643337833,-0.6549725899953565,-0.002836556930749641,-0.2836556930749641,0.9737272082939137,97.37272082939137,22.006396217517327,0.09977208501216864,0.9654841079464578,0.0043772892909768385,0.43772892909768385,685,171
29,0.9759537933088485,97.59537933088484,22.465853104863655,0.09824583294069927,-0.6566596466797783,-0.0028716503061543383,-0.2871650306154338,0.9771133186737021,97.7113318673702,21.45518893895357,0.09347975429101192,1.1625774364691464,0.005065322585348942,0.5065322585348941,685,171
30,0.9763083164023462,97.63083164023462,22.390196374860057,0.09714630972977358,-0.6467617181307442,-0.0028061618191717397,-0.28061618191717397,0.9765013601456939,97.65013601456938,21.3377083667158,0.09599947723396131,2.0420082628310743,0.009187103055780722,0.9187103055780722,685,171
31,0.9781224319446421,97.81224319446422,21.53288772089826,0.09381083757218847,-0.5702477997157064,-0.0024843590143791634,-0.24843590143791638,0.9682511852385238,96.82511852385238,24.74471817872608,0.10946554377906278,0.7546222690085546,0.003338293708910785,0.3338293708910785,685,171
32,0.9783089553738717,97.83089553738718,21.128214060742298,0.09261773261810277,-0.5936464799804723,-0.0026023113356594602,-0.26023113356594607,0.9667013844646323,96.67013844646323,26.90772346648311,0.1161276336380104,0.08847741172310389,0.00038184844833188465,0.038184844833188465,685,171
33,0.9752176085354807,97.52176085354807,22.406832211155333,0.09723536443680618,-0.638799856813234,-0.002772098094637882,-0.27720980946378815,0.9795359888206029,97.95359888206029,21.689436090135217,0.09751162263084184,-0.23670944173808742,-0.0010642011004804194,-0.10642011004804194,685,171
34,0.9767565362192699,97.675653621927,22.132790289655567,0.09589215061458836,-0.5912912804850852,-0.002561818540876392,-0.25618185408763916,0.9730662848394028,97.30662848394029,23.030046637825787,0.10423345504244651,1.9153999346944055,0.00866905552216123,0.866905552216123,685,171
35,0.9785039327833567,97.85039327833567,21.533605566487317,0.09183048635474336,-0.5625410305980244,-0.002398967338507908,-0.2398967338507908,0.9640198983525314,96.40198983525315,24.834861834515603,0.12044645613687957,0.060678956418124416,0.0002942865280003198,0.029428652800031978,685,171
36,0.9757846676827246,97.57846676827246,22.02092026382093,0.09905335578719449,-0.6294377201507052,-0.0028313039461117483,-0.28313039461117484,0.9774600807674139,97.74600807674139,22.82890337091808,0.08953270834647112,-1.6378014371264265,-0.006423295767525714,-0.6423295767525714,685,171
