iter,Species,n_train,n_test,a0,a_DBH_cm,a_H_m,a_BA_sq_m_sq_m,SE_a0,SE_a_DBH_cm,SE_a_H_m,SE_a_BA_sq_m_sq_m,CI95_lo_a0,CI95_hi_a0,CI95_lo_a_DBH_cm,CI95_hi_a_DBH_cm,CI95_lo_a_H_m,CI95_hi_a_H_m,CI95_lo_a_BA_sq_m_sq_m,CI95_hi_a_BA_sq_m_sq_m,success
1,Alder,92,23,0.7461248626011779,-0.04453554980940523,0.8859274301225961,1.020858031628301,0.11671020137463423,0.05407090822665924,0.09703667930224717,0.030124558274732934,0.5141878622869626,0.9780618629153933,-0.15199011771046142,0.06291901809165096,0.6930874208283678,1.0787674394168243,0.9609918022864082,1.0807242609701937,True
1,Aspen,53,13,1.059728684976863,0.02921500889887133,0.7857224863036774,0.9429877789760723,0.3556024952941401,0.15742810721590816,0.24764148981246656,0.04603998434748907,0.3451187161723921,1.774338653781334,-0.28714861699034466,0.34557863478808737,0.2880682806907517,1.283376691916603,0.8504669665135405,1.0355085914386042,True
1,Birch,96,24,1.648930713615797,0.09025851914425564,0.6969351674111657,0.7859675867249416,0.38585397897600066,0.08923990421482829,0.1312423213791852,0.059812871426246625,0.882591405630413,2.415270021601181,-0.0869796335428443,0.2674966718313556,0.4362765887150632,0.9575937461072681,0.6671740612077159,0.9047611122421673,True
1,Oak,72,18,0.6510444439364078,-0.0003326474528279747,0.8987648477509314,0.9927821870180292,0.08759160836883534,0.040392554458075866,0.07344910658642176,0.0370903138569599,0.47625811078242664,0.825830777090389,-0.08093473493500639,0.08026944002935044,0.7521994375164476,1.0453302579854151,0.918769618059484,1.0667947559765745,True
1,Pine,366,92,0.8208885021247302,-0.3421114009905499,1.3771039184026042,0.8176112666616016,0.057349333230584436,0.03563675300141923,0.048033726198107994,0.02046109770809872,0.7081088124552259,0.9336681917942344,-0.4121924589196671,-0.27203034306143264,1.2826437315245545,1.4715641052806538,0.7773737238720694,0.8578488094511337,True
1,Spruce,6,1,8.338899059806936,0.08147496560892158,1.14959705752189,-0.0290016552267446,9.258108734887958,0.20583572861168856,0.7148869850360973,0.9675856910008194,-31.495527760182433,48.1733258797963,-0.8041646939711545,0.9671146251889976,-1.9263133800679189,4.225507495111699,-4.192186869826348,4.134183559372858,True
2,Alder,92,23,0.6582186030134577,-0.13160039266715431,1.0125621186281242,1.021692836591256,0.10816482514340686,0.055532135846300096,0.09967490486492972,0.0334883618197157,0.44326374227472964,0.8731734637521857,-0.24195884340693413,-0.021241941927374483,0.8144791904120383,1.21064504684421,0.955141754557136,1.0882439186253763,True
2,Aspen,53,13,1.1539650144210194,0.049057964209171766,0.7353510693616557,0.9469128242663079,0.3744530877891659,0.14723462981812135,0.2299637391225615,0.04951277263883223,0.40147336173333026,1.9064566671087086,-0.24682110192121529,0.3449370303395588,0.2732216337833076,1.197480504940004,0.8474131824497004,1.0464124660829153,True
2,Birch,96,24,1.8582146824914691,0.10152785438166843,0.6866149338151574,0.7489252728040989,0.4531205942293227,0.09403011644958188,0.13612106766980486,0.0631349850140406,0.9582780703638462,2.758151294619092,-0.08522407328016753,0.2882797820435044,0.4162667438673791,0.9569631237629357,0.6235337429467982,0.8743168026613997,True
2,Oak,72,18,0.7160326454683582,0.0021720685982857422,0.9025971537383568,0.9611074849827462,0.08764521383118887,0.03927022553280726,0.0740359608985506,0.03143256451614243,0.5411393442796957,0.8909259466570207,-0.07619044638267412,0.0805345835792456,0.7548606939567444,1.0503336135199692,0.8983847790556199,1.0238301909098726,True
