metric,count,mean,std,min,max,q2.5,q15.9,q25,q50,q75,q84.1,q97.5
R2_train_all,200,0.9063478579005058,0.005502373882396221,0.8931431495029356,0.91976532780953,0.8950953696138276,0.9017338606811428,0.9025635184255796,0.9062630519526731,0.9100990071989168,0.9119493163669692,0.9161732384375706
R2_train_all_pct,200,90.63478579005059,0.5502373882396225,89.31431495029356,91.976532780953,89.50953696138276,90.17338606811428,90.25635184255796,90.62630519526732,91.00990071989168,91.19493163669694,91.61732384375705
RMSE_train_all,200,2.9319625422408198,0.07711990588771012,2.7197510963447624,3.091325562973702,2.7687722356255255,2.8631189752577244,2.883448785887992,2.93490315413474,2.9935794210948306,3.0126966400072313,3.0587298037670276
rRMSE_train_all,200,0.24317502403395067,0.006402177805610829,0.2254454606298918,0.2569463280955356,0.22926728057139567,0.23696740018935092,0.23870089210091994,0.2430867880493203,0.24778721081582752,0.24974264051397302,0.25487029908515774
Bias_train_all,200,-0.021981390228548413,0.007719761121056898,-0.0440053778001688,-0.0047360263305466,-0.036399739034148997,-0.029569894230743795,-0.027563385495567097,-0.02142904387528605,-0.0161398658997596,-0.014153527975920507,-0.009004229586422519
rBias_train_all,200,-0.001823116977019204,0.0006418214302481877,-0.0036494675862954,-0.0003944105373664,-0.0030580612602371673,-0.002448190386702732,-0.00227810650466525,-0.0017949793355643,-0.0013245145198008,-0.0011775289199250894,-0.0007557292804974948
PBIAS_train_all_pct,200,-0.1823116977019254,0.06418214302481905,-0.3649467586295497,-0.03944105373664,-0.3058061260237213,-0.24481903867028057,-0.22781065046653193,-0.1794979335564395,-0.13245145198008595,-0.1177528919925145,-0.07557292804975678
R2_test_all,200,0.8855762826187665,0.02732331895656333,0.8014975186422447,0.937533538003871,0.8236047634477737,0.8556664679835032,0.8675977043405937,0.8880430633378353,0.90614668679423,0.9127541405821645,0.931382490928642
R2_test_all_pct,200,88.55762826187666,2.7323318956563334,80.14975186422447,93.75335380038707,82.36047634477737,85.56664679835032,86.75977043405936,88.80430633378354,90.61466867942302,91.27541405821647,93.1382490928642
RMSE_test_all,200,3.1149179109992873,0.32699308509575076,2.3396140150536198,3.973091501831148,2.509954681915657,2.7516477382904023,2.8553696569798888,3.1384156022729117,3.346108070620817,3.430891779149173,3.7448009783376515
rRMSE_test_all,200,0.2623229876405119,0.027604262543060573,0.2045771524021744,0.3290077916612044,0.21252262516840723,0.23522268023406392,0.24375588489472783,0.2623744877091133,0.2802596205446813,0.2897023837077526,0.31718507306227944
Bias_test_all,200,0.002137560257280585,0.28354584707583685,-0.8828598607487129,0.6928198669406137,-0.5455138314461704,-0.26184958040607065,-0.19434181833950148,0.03435832771234105,0.1721054998147492,0.25457174069566635,0.6015882678470277
rBias_test_all,200,0.0006125017499875912,0.023940124959536513,-0.0703473992628456,0.0642488971949592,-0.04387535041257567,-0.022364853457611987,-0.016392800949684025,0.0029123954093352,0.01520696909903045,0.02183162064568699,0.05516115761047043
PBIAS_test_all_pct,200,0.06125017499875931,2.3940124959536555,-7.034739926284566,6.42488971949592,-4.387535041257576,-2.2364853457612024,-1.6392800949684085,0.2912395409335229,1.5206969099030516,2.183162064568701,5.516115761047048
n_train_all,200,598.0,0.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0
n_test_all,200,148.0,0.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0,148.0
