iter,Species,n_train,n_test,a0,a_DBH_cm,a_H_m,a_BA_sq_m_sq_m,SE_a0,SE_a_DBH_cm,SE_a_H_m,SE_a_BA_sq_m_sq_m,CI95_lo_a0,CI95_hi_a0,CI95_lo_a_DBH_cm,CI95_hi_a_DBH_cm,CI95_lo_a_H_m,CI95_hi_a_H_m,CI95_lo_a_BA_sq_m_sq_m,CI95_hi_a_BA_sq_m_sq_m,success
1,Alder,92,23,1.9099991742178308,0.16488171148489325,-1.13414123284151,0.9571299294385454,1.053429156306051,0.2686289195819114,0.45827291584856755,0.1312105610214251,-0.18346991142683367,4.003468259862496,-0.3689618178007863,0.6987252407705729,-2.044862353833995,-0.22342011184902444,0.6963765113618556,1.217883347515235,True
1,Aspen,53,13,0.7770245562229251,0.4597617438592703,-0.8643834363208615,0.8835251477323318,0.4819344474140071,0.308780304718564,0.4571320891901555,0.18080856890730138,-0.19145897521982735,1.7455080876656774,-0.16075551021637685,1.0802789979349174,-1.783024762854553,0.05425789021283012,0.5201767249954432,1.2468735704692204,True
1,Birch,96,24,0.713883608148906,-0.6325198025670796,0.4499137570500444,0.5660559971180642,0.7675840909204564,0.4962229577913649,0.6523998244717212,0.2604567083938185,-0.8106046519375847,2.2383718682353964,-1.6180614291935276,0.3530218240593683,-0.8458086075145599,1.7456361216146488,0.048766492418970686,1.0833455018171576,True
1,Oak,71,18,0.05337027917876594,-0.3951661259004198,1.0631368213671437,0.7211397286005308,0.022846331328319053,0.15771239912496848,0.26120996681448677,0.10468245092411221,0.007768810988611263,0.09897174736892062,-0.7099613920872287,-0.08037085971361085,0.5417595454507578,1.5845140972835297,0.5121926820361598,0.9300867751649018,True
1,Pine,365,91,1.735754482306301,0.01572410186022647,-0.4168899863125547,0.696301863645946,0.3007016715977451,0.147045095214764,0.18171234452022994,0.07758413776538496,1.14440747941637,2.3271014851962315,-0.2734484720163707,0.30489667573682366,-0.7742376849441919,-0.05954228768091757,0.5437282278041959,0.8488754994876961,True
1,Spruce,6,1,8474.873517899468,2.894345410932697,-3.395624548957338,-1.2876020782015745,69697.3224411214,3.9289124084239857,4.133821203174063,3.344673618048188,-291408.5011359037,308358.24817170267,-14.010400287909807,19.7990911097752,-21.18202163287001,14.390772534955333,-15.678571150839282,13.103366994436133,True
2,Alder,92,23,1.9472606031030606,0.08674948773375785,-1.069650151574986,0.9655398491235456,1.032994700034611,0.27233044374541443,0.4491851372395478,0.11999304600495576,-0.10559929470003548,4.0001205009061565,-0.454450043006479,0.6279490184739946,-1.9623112222439372,-0.17698908090603516,0.7270788849476768,1.2040008132994144,True
2,Aspen,53,13,1.1282905595413135,0.4774050766502645,-0.8268691850307838,0.7116622705844222,0.6021504920576842,0.2967785121315047,0.4378436868136608,0.15323268144773408,-0.08177615832299567,2.3383572774056227,-0.11899367224126695,1.0738038255417959,-1.7067490157848868,0.05301064572331926,0.40372966842814273,1.0195948727407016,True
2,Birch,96,24,0.38457307729212864,-0.914133160203858,0.863344378963575,0.6363648290560199,0.45356404528749983,0.5444633012064957,0.7304616127703328,0.26364531342361663,-0.5162442669143774,1.2853904214986347,-1.9954842728121207,0.16721795240440462,-0.5874154352176378,2.3141041931447877,0.11274247953708283,1.159987178574957,True
2,Oak,71,18,0.062052717376255194,-0.37696874229075705,0.9950233572515419,0.7267060860056547,0.02861212560987634,0.19038234032194018,0.3306461048472902,0.1157807006935684,0.004942675632520897,0.1191627591199895,-0.7569734840322366,0.0030359994507225263,0.3350509697504267,1.654995744752657,0.4956068401863898,0.9578053318249196,True
