Species,block,parameter,count,mean,std,min,max,q2.5,q15.9,q25,q50,q75,q84.1,q97.5
Alder,param,a0,200,0.9723482232866943,0.37881457001603003,0.4118889163730697,2.657126459712951,0.4635554516518453,0.6247029242099351,0.7068065550730667,0.9094348772498607,1.1496915169984556,1.2524413621595916,1.9164797712495003
Alder,param,a_DBH_cm,200,1.2980640256161815,0.18583284349613052,0.7131236575668268,1.8005922738052071,0.8812380566202763,1.1151160387409802,1.1776207178227138,1.3327448182949109,1.429369330731761,1.4654551689415225,1.602703469102532
Alder,param,a_H_m,200,-2.0180988109539157,0.3265578253656729,-2.7637102074734528,-0.8981393883658906,-2.5310097496971204,-2.307341416505378,-2.2305440703534063,-2.071205580913289,-1.795516717564598,-1.7154230338100867,-1.250333561175349
Alder,param,a_BA_sq_m_sq_m,200,1.3354022750955243,0.11276174418403408,1.0056388296470835,1.598279520869748,1.0795064141033768,1.2237802248280631,1.2645386399755,1.3391759440539839,1.4145528293847793,1.4462647361433805,1.5602228804374212
Alder,SE,SE_a0,200,0.6446950243286648,0.23934857537111148,0.2791623451286588,1.677898256815035,0.32185877845143224,0.42982680999550527,0.47427457594297295,0.6058826607309687,0.7796328166882847,0.8282984445062427,1.213390898839689
Alder,SE,SE_a_DBH_cm,200,0.23835372096644256,0.01177815349513063,0.207180651246916,0.2768167889512146,0.21688911345507714,0.22749055386743247,0.2304692498845398,0.2374846526586848,0.2452915331874176,0.25001430724636486,0.26358771216307575
Alder,SE,SE_a_H_m,200,0.4193482088017339,0.01969219302756294,0.3658585124468306,0.4849588566282953,0.38333733957022675,0.3996106009238311,0.4053494275339711,0.4187397110274156,0.43248712392864463,0.44032062838004776,0.45479037238051107
Alder,SE,SE_a_BA_sq_m_sq_m,200,0.15203813675376027,0.006774923791571047,0.1356562875092247,0.1721111862414856,0.13953364747436747,0.14453716368885727,0.14663950843208906,0.15244014734810601,0.15631556071822184,0.15832963543720438,0.1648898895240296
Alder,CI95_lo,CI95_lo_a0,200,-0.30884766446874495,0.1172296101312317,-0.7279745480225821,-0.1034126173694346,-0.6121676616053701,-0.4152469855652432,-0.3647995015720126,-0.2874341690189236,-0.2248752376867229,-0.20350789299226069,-0.12301333167505396
Alder,CI95_lo,CI95_lo_a_DBH_cm,200,0.8243860916947736,0.19698500031082924,0.1934222410252419,1.337622520881351,0.3808046348197966,0.6184917882417446,0.7038012870064876,0.8580823364845787,0.9637534355017389,1.0003079202188814,1.1474428747765815
Alder,CI95_lo,CI95_lo_a_H_m,200,-2.851465256140707,0.31013376041143836,-3.6011205957334287,-1.7832252003481313,-3.3410915277680706,-3.1193553750751835,-3.0605366991046514,-2.910185915286956,-2.649953594679419,-2.5529122744242927,-2.123700992755499
Alder,CI95_lo,CI95_lo_a_BA_sq_m_sq_m,200,1.0332584268569613,0.11021625952012379,0.7045780357964653,1.293278287988428,0.7852059861001532,0.9288624061494444,0.9686702553850205,1.0384059528242937,1.1092281198835299,1.1393313290560156,1.2478020695156138
Alder,CI95_hi,CI95_hi_a0,200,2.253544111042134,0.8519116912333047,0.9891057740718348,5.954816036979672,1.097477244391572,1.464989009442848,1.6434665859153283,2.100258468292002,2.674228363839287,2.9095452841738485,4.25249178716954
Alder,CI95_hi,CI95_hi_a_DBH_cm,200,1.7717419595375896,0.17708850730019238,1.2328250741084117,2.2635620267290637,1.368427413703264,1.6031371781518915,1.6569722589151492,1.8023411316986784,1.8922258267139285,1.924410458298793,2.064492036597446
Alder,CI95_hi,CI95_hi_a_H_m,200,-1.1847323657671254,0.3466410710636607,-1.9532907301251567,-0.0130535763836499,-1.7387761127180137,-1.5011976953626724,-1.415071498089694,-1.2453246507068239,-0.9481456984377263,-0.8336890327348562,-0.39675149492589806
Alder,CI95_hi,CI95_hi_a_BA_sq_m_sq_m,200,1.6375461233340878,0.11681328044807987,1.2925733339031402,1.903280753751068,1.3712199511642542,1.5228521615774415,1.5625509285223682,1.6423280890615368,1.7180493079174495,1.7504223829388954,1.8681045971605157
Aspen,param,a0,200,1.2251071955410888,0.38211066415893036,0.5951410851345103,2.9382963584279658,0.703866257318785,0.8849299508327011,0.9505267287603567,1.1305777926067397,1.4276459171591855,1.5989481176559897,2.0893000578641714
Aspen,param,a_DBH_cm,200,1.6777385137629657,0.12213940656883705,1.4003510934542922,2.1958561922081903,1.475578769020329,1.567221616477796,1.5954828728893946,1.6670982323812988,1.7592889820368647,1.7941753363801618,1.9143580087099044
