iter,R2_train_all,R2_train_all_pct,RMSE_train_all,rRMSE_train_all,Bias_train_all,rBias_train_all,PBIAS_train_all_pct,R2_test_all,R2_test_all_pct,RMSE_test_all,rRMSE_test_all,Bias_test_all,rBias_test_all,PBIAS_test_all_pct,n_train_all,n_test_all
1,0.7623294440232485,76.23294440232485,5.271826142961126,0.39189637921095954,-0.023580275813878723,-0.0017529077138845575,-0.17529077138845575,0.9028015764835113,90.28015764835114,4.222435524729196,0.2815727989626147,-0.10103883284198491,-0.006737767054254325,-0.6737767054254326,674,168
2,0.8106827380771303,81.06827380771303,5.107312874182582,0.3675286939883581,-0.025809619243916188,-0.0018572928439539737,-0.18572928439539738,0.7500962978132604,75.00962978132604,5.032083016864972,0.3808285831302352,0.3316264592029296,0.025097526047062294,2.5097526047062297,674,168
3,0.7985507603197288,79.85507603197289,5.139054317806789,0.3746428072556921,-0.03543213162211298,-0.0025830420223358803,-0.258304202233588,0.8178472776865888,81.78472776865888,4.837576141868185,0.3472211601344324,0.2871372094208679,0.02060951849625561,2.060951849625561,674,168
4,0.8015789227648179,80.15789227648179,5.223950600417347,0.3753598230184593,-0.04669455521577395,-0.0033551733778490007,-0.3355173377849001,0.799710431087141,79.9710431087141,4.524359623024848,0.34458184486099375,-0.04541682085814861,-0.003459011489577198,-0.3459011489577198,674,168
5,0.8015510711868298,80.15510711868298,5.166414424362984,0.3717257559087586,-0.050580265631463825,-0.0036392720234091494,-0.36392720234091497,0.8057347093218563,80.57347093218563,4.715785480735428,0.35711798308896797,0.25324283646589263,0.01917762615790682,1.917762615790682,674,168
6,0.8044357403018282,80.44357403018282,4.979654879019861,0.3659458922339527,-0.024762477008334807,-0.0018197499551457724,-0.18197499551457724,0.7904331118317476,79.04331118317475,5.518266879904849,0.38396211019516197,-0.2818742113575129,-0.01961286384979878,-1.961286384979878,674,168
7,0.8205498417596911,82.05498417596911,4.837296642874356,0.349200075969633,-0.051802077346571336,-0.0037395451799414003,-0.3739545179941401,0.7231932220294508,72.31932220294507,6.025583680036202,0.4500242542537806,-0.26191935188451393,-0.01956160054618207,-1.956160054618207,674,168
8,0.815233031668747,81.52330316687471,5.039179957999188,0.3618943356573895,-0.02114243984589281,-0.001518367926126549,-0.1518367926126549,0.7304386327388238,73.04386327388238,5.257816876769701,0.4013345367421693,-0.01904952129806266,-0.0014540694330942815,-0.14540694330942816,674,168
9,0.8069352506718338,80.69352506718339,5.194898641193537,0.37265099631159854,-0.0068689929373733,-0.000492740520762382,-0.049274052076238195,0.7694113871864616,76.94113871864616,4.631479970126258,0.3552591703868192,0.35868964892159816,0.027513405633653773,2.751340563365378,674,168
10,0.8096778817734184,80.96778817734183,4.829298093009618,0.3565193629523223,-0.03382345220689982,-0.0024969913642537756,-0.24969913642537753,0.7737140143820324,77.37140143820324,6.053236947408407,0.41402629524295875,-0.5122884927699102,-0.03503925397269186,-3.5039253972691857,674,168
11,0.7953307078898414,79.53307078898413,5.022870678809457,0.3679422795407398,-0.026262837609872997,-0.001923841754109298,-0.19238417541092978,0.8209152256041835,82.09152256041835,5.347746334572474,0.37668396205082244,0.32156480920536973,0.02265034629719008,2.265034629719008,674,168
12,0.789340989158938,78.9340989158938,5.163928502274008,0.37798972517402807,-0.04399049300521221,-0.003220020252795487,-0.32200202527954863,0.8449169278787518,84.49169278787518,4.765387745426644,0.3366448180846615,0.5460861721979003,0.038577570161953824,3.857757016195383,674,168
