iter,Species,n_train,n_test,a0,a_DBH_cm,a_H_m,a_BA_sq_m_sq_m,SE_a0,SE_a_DBH_cm,SE_a_H_m,SE_a_BA_sq_m_sq_m,CI95_lo_a0,CI95_hi_a0,CI95_lo_a_DBH_cm,CI95_hi_a_DBH_cm,CI95_lo_a_H_m,CI95_hi_a_H_m,CI95_lo_a_BA_sq_m_sq_m,CI95_hi_a_BA_sq_m_sq_m,success
1,Alder,92,23,2.102115257369046,1.6097980952223025,-2.615885020830401,1.3532220096333036,1.3512243083234339,0.23274756897468782,0.4154869273826337,0.1419503695244324,-0.5831591156756208,4.787389630413713,1.147261210334812,2.072334980109793,-3.441577980587753,-1.790192061073049,1.07112547896836,1.6353185402982473,True
1,Aspen,53,13,1.2237695828864266,1.7738350524509954,-1.7705066778646772,0.9660155868842394,0.8854969558106889,0.38397404142371316,0.5932456686074321,0.12100216530028583,-0.5557031720640584,3.0032423378369115,1.0022103271054645,2.545459777796526,-2.962678483032352,-0.5783348726970026,0.722852631857766,1.2091785419107128,True
1,Birch,96,24,0.976627434995386,-0.35431667777478426,1.0576307772523206,0.1458503914405155,0.8331577737123718,0.39693663029935633,0.5932474664486537,0.22554941652556337,-0.6780958192362215,2.6313506892269936,-1.1426670879090253,0.43403373235945664,-0.12060989842727499,2.2358714529319164,-0.302110218517217,0.593811001398248,True
1,Oak,71,18,0.5028228034848234,0.4997441158389133,0.27620121976511564,0.497809210089867,0.18122697774356555,0.1172021320570223,0.2491514494391756,0.11303045222689143,0.14109224193391018,0.8645533650357367,0.2658076811435208,0.7336805505343058,-0.22110715473299009,0.7735095942632213,0.2721994831857346,0.7234189369939994,True
1,Pine,356,89,0.47824975371999817,0.5647628835754402,-0.37769122362872376,0.7887097006002644,0.12405288541550795,0.1638084414212063,0.21416348941915822,0.09492128023633165,0.23427169008217652,0.7222278173578198,0.24259652515811875,0.8869292419927617,-0.7988921757500145,0.04350972849256701,0.6020255289865654,0.9753938722139633,True
1,Spruce,6,1,18.918689424456282,0.7870641120941768,0.24702600004946298,-0.6550068248504355,25.45168298794999,0.2823774313470996,0.8436270688339019,1.1249816958817467,-90.59106385900759,128.42844270792017,-0.427907913696006,2.0020361378843594,-3.38280831051428,3.876860310613206,-5.495412389494228,4.185398739793357,True
2,Alder,92,23,0.7209579223525219,1.0775222518937113,-1.63368352381866,1.2552349090824488,0.5049772786533652,0.2443808168599977,0.4431604780887231,0.1555460177870342,-0.2825783054853358,1.7244941501903797,0.5918667313886758,1.5631777723987468,-2.5143718504181147,-0.7529951972192053,0.946119884419427,1.5643499337454707,True
2,Aspen,53,13,1.16467328921276,1.704516649395582,-1.6341063147990078,0.9217831744317804,0.7658617361984587,0.3249984955107635,0.49614623779535877,0.12242477667812644,-0.3743834909164687,2.703730069341989,1.0514077207128931,2.3576255780782707,-2.631149508267396,-0.6370631213306196,0.6757613748083402,1.1678049740552205,True
2,Birch,96,24,1.1047310039378175,-0.23682348287860636,0.9799320984664331,0.04942875676620328,0.9506971396396149,0.40908620880937535,0.6141377276694365,0.22103850049178286,-0.7834355766649994,2.9928975845406347,-1.0493040046483195,0.5756570388911069,-0.23979843918129407,2.1996626361141605,-0.3895727845799223,0.48843029811232885,True
2,Oak,71,18,0.35417949824044986,0.4480758416232178,0.3249187925076202,0.6054018785266019,0.12510091463243503,0.11035040296996866,0.22429529614564486,0.0959868233559934,0.10447702753790414,0.6038819689429956,0.22781551542510248,0.6683361678213331,-0.1227764923676648,0.7726140773829051,0.4138113772316886,0.7969923798215152,True
