iter,R2_train_all,R2_train_all_pct,RMSE_train_all,rRMSE_train_all,Bias_train_all,rBias_train_all,PBIAS_train_all_pct,R2_test_all,R2_test_all_pct,RMSE_test_all,rRMSE_test_all,Bias_test_all,rBias_test_all,PBIAS_test_all_pct,n_train_all,n_test_all
1,0.5238713621209963,52.38713621209963,1.9693756021771975,0.41595547427947566,-0.0031114013293562226,-0.00065716484666276,-0.065716484666276,0.609166546193249,60.916654619324895,1.692950061468841,0.3529617857095414,0.12927789523231864,0.02695304356135612,2.6953043561356123,683,170
2,0.5292142559647429,52.92142559647429,1.9299301738512746,0.40425504842269244,-0.0014126712790223119,-0.0002959068177927355,-0.029590681779273553,0.5902202043864881,59.022020438648816,1.8400730437408284,0.3967485381715043,0.1323564972647741,0.02853813167141647,2.8538131671416465,683,170
3,0.517787009211828,51.778700921182796,1.9761843644310717,0.4137254960033662,-0.0041985977208195725,-0.0008790004393465428,-0.08790004393465428,0.627543460872076,62.7543460872076,1.6722108782831395,0.3613431072149351,0.06950843105365227,0.015019871465223825,1.5019871465223826,683,170
4,0.5560046181889272,55.60046181889272,1.9182018374542509,0.4014929914289118,-0.0009463406309965538,-0.00019807567870635623,-0.019807567870635624,0.30941080041865765,30.941080041865764,2.1588669957859437,0.4669542842938705,0.05193523634704343,0.011233383606032602,1.1233383606032603,683,170
5,0.5203794354600361,52.0379435460036,1.956149217584227,0.40738321424630125,-0.003889978185737811,-0.0008101180638003302,-0.08101180638003302,0.618543215936211,61.854321593621094,1.7413088448318164,0.38468461329323317,0.21859248260575195,0.04829078132209407,4.829078132209407,683,170
6,0.5591634254742297,55.91634254742297,1.9145008657544678,0.4026556502210354,-0.0031692879375940044,-0.0006665610437040462,-0.06665610437040462,-0.34826903031034706,-34.8269030310347,2.9960019920208905,0.6353321091778951,0.15219337695535165,0.03227412379613524,3.2274123796135243,683,170
7,0.5487688402973576,54.87688402973576,1.8497112833880802,0.3891574019535787,-0.005082826251110394,-0.0010693665958724484,-0.10693665958724484,0.5112455778741176,51.12455778741176,2.165983314377562,0.4587061196718517,-0.22943214888874353,-0.04858852330308622,-4.858852330308622,683,170
8,0.5686424056798569,56.86424056798569,1.8544379787292917,0.3888211903864958,-0.0029844008514946056,-0.0006257412245535107,-0.06257412245535107,0.4268282623944545,42.68282623944545,2.144405117174953,0.46050992890495696,-0.011121093971783246,-0.002388249381272772,-0.23882493812727718,683,170
9,0.553882773936393,55.3882773936393,1.9339786813988644,0.40325540567876655,-0.0016058160210913222,-0.00033482995301802504,-0.03348299530180251,-0.375067619629184,-37.506761962918404,2.9504184619415725,0.6484436180091369,0.2438946661229695,0.05360322332372956,5.360322332372956,683,170
10,0.5706681193104596,57.066811931045955,1.8051911968982475,0.3817039009450153,-0.0053279884712713315,-0.0011265920126182453,-0.11265920126182451,0.43120300730166794,43.1203007301668,2.332154822516085,0.4840858605955244,-0.1730063390229314,-0.03591096170195157,-3.591096170195157,683,170
